분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
WD000,창,,,,,WD000,WD000-창,○,,,WD000-창 ,ALB,,E334,
WD100,여닫이창,,,,,WD100,WD100-여닫이창,○,,,WD100-여닫이창 ,ALB,,E334,
,,110.0,외여닫이창,,,WD110,WD110-외여닫이창,○,,,WD110-외여닫이창 ,ALB,,E334,
,,,,111.0,"강재(철재,스틸)",WD111,"WD111-외여닫이창(철재, 일반)",○,,900x900mm,"WD111-외여닫이창(철재, 일반) 900x900mm",ALB15,,E334,
,,,,,,,,○,,1200x1200mm,"WD111-외여닫이창(철재, 일반) 1200x1200mm",ALB15,,E334,
,,,,,,,,○,,1500x1200mm,"WD111-외여닫이창(철재, 일반) 1500x1200mm",ALB15,,E334,
,,,,,,,,○,,1800x1200mm,"WD111-외여닫이창(철재, 일반) 1800x1200mm",ALB15,,E334,
,,,,112.0,스테인리스 스틸,WD112,WD112-외여닫이창(스테인리스 스틸),○,,900x900mm,WD112-외여닫이창(스테인리스 스틸) 900x900mm,ALB35,,E334,
,,,,,,,,○,,1200x1200mm,WD112-외여닫이창(스테인리스 스틸) 1200x1200mm,ALB35,,E334,
,,,,,,,,○,,1500x1200mm,WD112-외여닫이창(스테인리스 스틸) 1500x1200mm,ALB35,,E334,
,,,,,,,,○,,1800x1200mm,WD112-외여닫이창(스테인리스 스틸) 1800x1200mm,ALB35,,E334,
,,,,113.0,알루미늄,WD113,WD113-외여닫이창(알루미늄),○,,900x900mm,WD113-외여닫이창(알루미늄) 900x900mm,ALB25,,E334,
,,,,,,,,○,,1200x1200mm,WD113-외여닫이창(알루미늄) 1200x1200mm,ALB25,,E334,
,,,,,,,,○,,1500x1200mm,WD113-외여닫이창(알루미늄) 1500x1200mm,ALB25,,E334,
,,,,,,,,○,,1800x1200mm,WD113-외여닫이창(알루미늄) 1800x1200mm,ALB25,,E334,
,,,,,,,,○,,800x1200mm,WD113-외여닫이창(알루미늄) 800x1200mm,ALB25,,E334,
,,,,,,,,○,,1000x1600mm,WD113-외여닫이창(알루미늄) 1000x1600mm,ALB25,,E334,
,,,,114.0,목재,WD114,WD114-외여닫이창(목재),○,,900x900mm,WD114-외여닫이창(목재) 900x900mm,ALB45,,E334,
,,,,,,,,○,,1200x1200mm,WD114-외여닫이창(목재) 1200x1200mm,ALB45,,E334,
,,,,,,,,○,,1500x1200mm,WD114-외여닫이창(목재) 1500x1200mm,ALB45,,E334,
,,,,,,,,○,,1800x1200mm,WD114-외여닫이창(목재) 1800x1200mm,ALB45,,E334,
,,,,115.0,플라스틱,WD115,WD115-외여닫이창(플라스틱),○,,900x900mm,WD115-외여닫이창(플라스틱) 900x900mm,ALB55,,E334,
,,,,,,,,○,,1200x1200mm,WD115-외여닫이창(플라스틱) 1200x1200mm,ALB55,,E334,
,,,,,,,,○,,1500x1200mm,WD115-외여닫이창(플라스틱) 1500x1200mm,ALB55,,E334,
,,,,,,,,○,,1800x1200mm,WD115-외여닫이창(플라스틱) 1800x1200mm,ALB55,,E334,
,,120.0,쌍여닫이창,,,WD120,WD120-쌍여닫이창,○,,,WD120-쌍여닫이창 ,ALB,,E334,
,,,,121.0,"강재(철재,스틸)",WD121,"WD121-쌍여닫이창(철재, 일반)",○,,1500x1200mm,"WD121-쌍여닫이창(철재, 일반) 1500x1200mm",ALB15,,E334,
,,,,,,,,○,,1800x1200mm,"WD121-쌍여닫이창(철재, 일반) 1800x1200mm",ALB15,,E334,
,,,,122.0,스테인리스 스틸,WD122,WD122-쌍여닫이창(스테인리스 스틸),○,,1500x1200mm,WD122-쌍여닫이창(스테인리스 스틸) 1500x1200mm,ALB35,,E334,
,,,,,,,,○,,1800x1200mm,WD122-쌍여닫이창(스테인리스 스틸) 1800x1200mm,ALB35,,E334,
,,,,123.0,알루미늄,WD123,WD123-쌍여닫이창(알루미늄),○,,1500x1200mm,WD123-쌍여닫이창(알루미늄) 1500x1200mm,ALB25,,E334,
,,,,,,,,○,,1800x1200mm,WD123-쌍여닫이창(알루미늄) 1800x1200mm,ALB25,,E334,
,,,,124.0,목재,WD124,WD124-쌍여닫이창(목재),○,,1500x1200mm,WD124-쌍여닫이창(목재) 1500x1200mm,ALB45,,E334,
,,,,,,,,○,,1800x1200mm,WD124-쌍여닫이창(목재) 1800x1200mm,ALB45,,E334,
,,,,125.0,플라스틱,WD125,WD125-쌍여닫이창(플라스틱),○,,1500x1200mm,WD125-쌍여닫이창(플라스틱) 1500x1200mm,ALB55,,E334,
,,,,,,,,○,,1800x1200mm,WD125-쌍여닫이창(플라스틱) 1800x1200mm,ALB55,,E334,
WD200,미닫이창,,,,,WD200,WD200-미닫이창,○,,,WD200-미닫이창 ,ALB,,E334,
,,210.0,외미닫이창,,,WD210,WD210-외미닫이창,○,,,WD210-외미닫이창 ,ALB,,E334,
,,,,211.0,"강재(철재,스틸)",WD211,WD211-외미닫이창(철재),○,,900x900mm,WD211-외미닫이창(철재) 900x900mm,,ALB18A,E334,
,,,,,,,,○,,1200x1200mm,WD211-외미닫이창(철재) 1200x1200mm,,ALB18A,E334,
,,,,,,,,○,,1500x1200mm,WD211-외미닫이창(철재) 1500x1200mm,,ALB18A,E334,
,,,,,,,,○,,1800x1200mm,WD211-외미닫이창(철재) 1800x1200mm,,ALB18A,E334,
,,,,212.0,스테인리스 스틸,WD212,WD212-외미닫이창(스테인리스 스틸),○,,900x900mm,WD212-외미닫이창(스테인리스 스틸) 900x900mm,,ALB38A,E334,
,,,,,,,,○,,1200x1200mm,WD212-외미닫이창(스테인리스 스틸) 1200x1200mm,,ALB38A,E334,
,,,,,,,,○,,1500x1200mm,WD212-외미닫이창(스테인리스 스틸) 1500x1200mm,,ALB38A,E334,
,,,,,,,,○,,1800x1200mm,WD212-외미닫이창(스테인리스 스틸) 1800x1200mm,,ALB38A,E334,
,,,,213.0,알루미늄,WD213,WD213-외미닫이창(알루미늄),○,,900x900mm,WD213-외미닫이창(알루미늄) 900x900mm,,ALB28A,E334,
,,,,,,,,○,,1200x1200mm,WD213-외미닫이창(알루미늄) 1200x1200mm,,ALB28A,E334,
,,,,,,,,○,,1500x1200mm,WD213-외미닫이창(알루미늄) 1500x1200mm,,ALB28A,E334,
,,,,,,,,○,,1800x1200mm,WD213-외미닫이창(알루미늄) 1800x1200mm,,ALB28A,E334,
,,,,214.0,목재,WD214,WD214-외미닫이창(목재),○,,900x900mm,WD214-외미닫이창(목재) 900x900mm,,ALB48A,E334,
,,,,,,,,○,,1200x1200mm,WD214-외미닫이창(목재) 1200x1200mm,,ALB48A,E334,
,,,,,,,,○,,1500x1200mm,WD214-외미닫이창(목재) 1500x1200mm,,ALB48A,E334,
,,,,,,,,○,,1800x1200mm,WD214-외미닫이창(목재) 1800x1200mm,,ALB48A,E334,
,,,,215.0,플라스틱,WD215,WD215-외미닫이창(플라스틱),○,,900x900mm,WD215-외미닫이창(플라스틱) 900x900mm,,ALB58A,E334,
,,,,,,,,○,,1200x1200mm,WD215-외미닫이창(플라스틱) 1200x1200mm,,ALB58A,E334,
,,,,,,,,○,,1500x1200mm,WD215-외미닫이창(플라스틱) 1500x1200mm,,ALB58A,E334,
,,,,,,,,○,,1800x1200mm,WD215-외미닫이창(플라스틱) 1800x1200mm,,ALB58A,E334,
,,220.0,쌍미닫이창,,,WD220,WD220-쌍미닫이창,○,,,WD220-쌍미닫이창 ,ALB,,E334,
,,,,221.0,"강재(철재,스틸)",WD221,WD221-쌍미닫이창(철재),○,,1500x1200mm,WD221-쌍미닫이창(철재) 1500x1200mm,,ALB18A,E334,
,,,,,,,,○,,1800x1200mm,WD221-쌍미닫이창(철재) 1800x1200mm,,ALB18A,E334,
,,,,222.0,스테인리스 스틸,WD222,WD222-쌍미닫이창(스테인리스 스틸),○,,1500x1200mm,WD222-쌍미닫이창(스테인리스 스틸) 1500x1200mm,,ALB38A,E334,
,,,,,,,,○,,1800x1200mm,WD222-쌍미닫이창(스테인리스 스틸) 1800x1200mm,,ALB38A,E334,
,,,,223.0,알루미늄,WD223,WD223-쌍미닫이창(알루미늄),○,,1500x1200mm,WD223-쌍미닫이창(알루미늄) 1500x1200mm,,ALB28A,E334,
,,,,,,,,○,,1800x1200mm,WD223-쌍미닫이창(알루미늄) 1800x1200mm,,ALB28A,E334,
,,,,224.0,목재,WD224,WD224-쌍미닫이창(목재),○,,1500x1200mm,WD224-쌍미닫이창(목재) 1500x1200mm,,ALB48A,E334,
,,,,,,,,○,,1800x1200mm,WD224-쌍미닫이창(목재) 1800x1200mm,,ALB48A,E334,
,,,,225.0,플라스틱,WD225,WD225-쌍미닫이창(플라스틱),○,,1500x1200mm,WD225-쌍미닫이창(플라스틱) 1500x1200mm,,ALB58A,E334,
,,,,,,,,○,,1800x1200mm,WD225-쌍미닫이창(플라스틱) 1800x1200mm,,ALB58A,E334,
WD300,미서기창,,,,,WD300,WD300-미서기창,○,,,WD300-미서기창 ,ALB,,E334,
,,310.0,두짝 미서기창,,,WD310,WD310-두짝 미서기창,○,,,WD310-두짝 미서기창 ,ALB,,E334,
,,,,311.0,"강재(철재,스틸)",WD311,WD311-두짝 미서기창(철재),○,,900x900mm,WD311-두짝 미서기창(철재) 900x900mm,ALB12,,E334,
,,,,,,,,○,,1200x1200mm,WD311-두짝 미서기창(철재) 1200x1200mm,ALB12,,E334,
,,,,,,,,○,,1500x1200mm,WD311-두짝 미서기창(철재) 1500x1200mm,ALB12,,E334,
,,,,,,,,○,,1800x1200mm,WD311-두짝 미서기창(철재) 1800x1200mm,ALB12,,E334,
,,,,312.0,스테인리스 스틸,WD312,WD312-두짝 미서기창(스테인리스 스틸),○,,900x900mm,WD312-두짝 미서기창(스테인리스 스틸) 900x900mm,ALB32,,E334,
,,,,,,,,○,,1200x1200mm,WD312-두짝 미서기창(스테인리스 스틸) 1200x1200mm,ALB32,,E334,
,,,,,,,,○,,1500x1200mm,WD312-두짝 미서기창(스테인리스 스틸) 1500x1200mm,ALB32,,E334,
,,,,,,,,○,,1800x1200mm,WD312-두짝 미서기창(스테인리스 스틸) 1800x1200mm,ALB32,,E334,
,,,,313.0,알루미늄,WD313,WD313-두짝 미서기창(알루미늄),○,,900x900mm,WD313-두짝 미서기창(알루미늄) 900x900mm,ALB22,,E334,
,,,,,,,,○,,1200x1200mm,WD313-두짝 미서기창(알루미늄) 1200x1200mm,ALB22,,E334,
,,,,,,,,○,,1500x1200mm,WD313-두짝 미서기창(알루미늄) 1500x1200mm,ALB22,,E334,
,,,,,,,,○,,1800x1200mm,WD313-두짝 미서기창(알루미늄) 1800x1200mm,ALB22,,E334,
,,,,314.0,목재,WD314,WD314-두짝 미서기창(목재),○,,900x900mm,WD314-두짝 미서기창(목재) 900x900mm,ALB42,,E334,
,,,,,,,,○,,1200x1200mm,WD314-두짝 미서기창(목재) 1200x1200mm,ALB42,,E334,
,,,,,,,,○,,1500x1200mm,WD314-두짝 미서기창(목재) 1500x1200mm,ALB42,,E334,
,,,,,,,,○,,1800x1200mm,WD314-두짝 미서기창(목재) 1800x1200mm,ALB42,,E334,
,,,,315.0,플라스틱,WD315,WD315-두짝 미서기창(플라스틱),○,,900x900mm,WD315-두짝 미서기창(플라스틱) 900x900mm,ALB52,,E334,
,,,,,,,,○,,1200x1200mm,WD315-두짝 미서기창(플라스틱) 1200x1200mm,ALB52,,E334,
,,,,,,,,○,,1500x1200mm,WD315-두짝 미서기창(플라스틱) 1500x1200mm,ALB52,,E334,
,,,,,,,,○,,1800x1200mm,WD315-두짝 미서기창(플라스틱) 1800x1200mm,ALB52,,E334,
,,320.0,네짝 미서기창,,,WD320,WD320-네짝 미서기창,○,,,WD320-네짝 미서기창 ,ALB,,E334,
,,,,321.0,"강재(철재,스틸)",WD321,WD321-네짝 미서기창(철재),○,,1200x1200mm,WD321-네짝 미서기창(철재) 1200x1200mm,ALB12,,E334,
,,,,,,,,○,,1500x1200mm,WD321-네짝 미서기창(철재) 1500x1200mm,ALB12,,E334,
,,,,,,,,○,,1800x1200mm,WD321-네짝 미서기창(철재) 1800x1200mm,ALB12,,E334,
,,,,322.0,스테인리스 스틸,WD322,WD322-네짝 미서기창(스테인리스 스틸),○,,1200x1200mm,WD322-네짝 미서기창(스테인리스 스틸) 1200x1200mm,ALB32,,E334,
,,,,,,,,○,,1500x1200mm,WD322-네짝 미서기창(스테인리스 스틸) 1500x1200mm,ALB32,,E334,
,,,,,,,,○,,1800x1200mm,WD322-네짝 미서기창(스테인리스 스틸) 1800x1200mm,ALB32,,E334,
,,,,323.0,알루미늄,WD323,WD323-네짝 미서기창(알루미늄),○,,1200x1200mm,WD323-네짝 미서기창(알루미늄) 1200x1200mm,ALB22,,E334,
,,,,,,,,○,,1500x1200mm,WD323-네짝 미서기창(알루미늄) 1500x1200mm,ALB22,,E334,
,,,,,,,,○,,1800x1200mm,WD323-네짝 미서기창(알루미늄) 1800x1200mm,ALB22,,E334,
,,,,324.0,목재,WD324,WD324-네짝 미서기창(목재),○,,1200x1200mm,WD324-네짝 미서기창(목재) 1200x1200mm,ALB42,,E334,
,,,,,,,,○,,1500x1200mm,WD324-네짝 미서기창(목재) 1500x1200mm,ALB42,,E334,
,,,,,,,,○,,1800x1200mm,WD324-네짝 미서기창(목재) 1800x1200mm,ALB42,,E334,
,,,,325.0,플라스틱,WD325,WD325-네짝 미서기창(플라스틱),○,,1200x1200mm,WD325-네짝 미서기창(플라스틱) 1200x1200mm,ALB52,,E334,
,,,,,,,,○,,1500x1200mm,WD325-네짝 미서기창(플라스틱) 1500x1200mm,ALB52,,E334,
,,,,,,,,○,,1800x1200mm,WD325-네짝 미서기창(플라스틱) 1800x1200mm,ALB52,,E334,
WD400,회전창,,,,,WD400,WD400-회전창,○,,,WD400-회전창 ,ALB,,E334,
,,410.0,상하개폐,,,WD410,WD410-상하개폐 회전창,○,,,WD410-상하개폐 회전창 ,ALB,,E334,
,,,,411.0,"강재(철재,스틸)",WD411,WD411-상하개폐 회전창(철재),○,,900x900mm,WD411-상하개폐 회전창(철재) 900x900mm,,ALB18B,E334,
,,,,,,,,○,,1200x1200mm,WD411-상하개폐 회전창(철재) 1200x1200mm,,ALB18B,E334,
,,,,412.0,스테인리스 스틸,WD412,WD412-상하개폐 회전창(스테인리스 스틸),○,,900x900mm,WD412-상하개폐 회전창(스테인리스 스틸) 900x900mm,,ALB38B,E334,
,,,,,,,,○,,1200x1200mm,WD412-상하개폐 회전창(스테인리스 스틸) 1200x1200mm,,ALB38B,E334,
,,,,413.0,알루미늄,WD413,WD413-상하개폐 회전창(알루미늄),○,,900x900mm,WD413-상하개폐 회전창(알루미늄) 900x900mm,,ALB28B,E334,
,,,,,,,,○,,1200x1200mm,WD413-상하개폐 회전창(알루미늄) 1200x1200mm,,ALB28B,E334,
,,,,414.0,목재,WD414,WD414-상하개폐 회전창(목재),○,,900x900mm,WD414-상하개폐 회전창(목재) 900x900mm,,ALB48B,E334,
,,,,,,,,○,,1200x1200mm,WD414-상하개폐 회전창(목재) 1200x1200mm,,ALB48B,E334,
,,,,415.0,플라스틱,WD415,WD415-상하개폐 회전창(플라스틱),○,,900x900mm,WD415-상하개폐 회전창(플라스틱) 900x900mm,,ALB58B,E334,
,,,,,,,,○,,1200x1200mm,WD415-상하개폐 회전창(플라스틱) 1200x1200mm,,ALB58B,E334,
,,420.0,좌우개폐,,,WD420,WD420-좌우개폐 회전창 ,○,, ,WD420-좌우개폐 회전창   ,ALB,,E334,
,,,,421.0,"강재(철재,스틸)",WD421,WD421-좌우개폐 회전창(철재),○,,900x900mm,WD421-좌우개폐 회전창(철재) 900x900mm,,ALB18B,E334,
,,,,,,,,○,,1200x1200mm,WD421-좌우개폐 회전창(철재) 1200x1200mm,,ALB18B,E334,
,,,,422.0,스테인리스 스틸,WD422,WD422-좌우개폐 회전창(스테인리스 스틸),○,,900x900mm,WD422-좌우개폐 회전창(스테인리스 스틸) 900x900mm,,ALB38B,E334,
,,,,,,,,○,,1200x1200mm,WD422-좌우개폐 회전창(스테인리스 스틸) 1200x1200mm,,ALB38B,E334,
,,,,423.0,알루미늄,WD423,WD423-좌우개폐 회전창(알루미늄),○,,900x900mm,WD423-좌우개폐 회전창(알루미늄) 900x900mm,,ALB28B,E334,
,,,,,,,,○,,1200x1200mm,WD423-좌우개폐 회전창(알루미늄) 1200x1200mm,,ALB28B,E334,
,,,,424.0,목재,WD424,WD424-좌우개폐 회전창(목재),○,,900x900mm,WD424-좌우개폐 회전창(목재) 900x900mm,,ALB48B,E334,
,,,,,,,,○,,1200x1200mm,WD424-좌우개폐 회전창(목재) 1200x1200mm,,ALB48B,E334,
,,,,425.0,플라스틱,WD425,WD425-좌우개폐 회전창(플라스틱),○,,900x900mm,WD425-좌우개폐 회전창(플라스틱) 900x900mm,,ALB58B,E334,
,,,,,,,,○,,1200x1200mm,WD425-좌우개폐 회전창(플라스틱) 1200x1200mm,,ALB58B,E334,
WD500,고정창,,,,,WD500,WD500-고정창,○,,,WD500-고정창 ,ALB,,E334,
,,510.0,고정창,,,WD510,WD510-고정창,○,,,WD510-고정창 ,ALB,,E334,
,,,,511.0,"강재(철재,스틸)",WD511,WD511-고정창(철재),○,,900x900mm,WD511-고정창(철재) 900x900mm,ALB11,,E334,
,,,,,,,,○,,1200x1200mm,WD511-고정창(철재) 1200x1200mm,ALB11,,E334,
,,,,,,,,○,,1500x1200mm,WD511-고정창(철재) 1500x1200mm,ALB11,,E334,
,,,,,,,,○,,1800x1200mm,WD511-고정창(철재) 1800x1200mm,ALB11,,E334,
,,,,,,,,○,,2000x1700mm,WD511-고정창(철재) 2000x1700mm,ALB11,,E334,
,,,,,,,,○,,2000x1800mm,WD511-고정창(철재) 2000x1800mm,ALB11,,E334,
,,,,512.0,스테인리스 스틸,WD512,WD512-고정창(스테인리스 스틸),○,,900x900mm,WD512-고정창(스테인리스 스틸) 900x900mm,ALB31,,E334,
,,,,,,,,○,,1200x1200mm,WD512-고정창(스테인리스 스틸) 1200x1200mm,ALB31,,E334,
,,,,,,,,○,,1500x1200mm,WD512-고정창(스테인리스 스틸) 1500x1200mm,ALB31,,E334,
,,,,,,,,○,,1800x1200mm,WD512-고정창(스테인리스 스틸) 1800x1200mm,ALB31,,E334,
,,,,513.0,알루미늄,WD513,WD513-고정창(알루미늄),○,,900x900mm,WD513-고정창(알루미늄) 900x900mm,ALB21,,E334,
,,,,,,,,○,,1200x1200mm,WD513-고정창(알루미늄) 1200x1200mm,ALB21,,E334,
,,,,,,,,○,,1500x1200mm,WD513-고정창(알루미늄) 1500x1200mm,ALB21,,E334,
,,,,,,,,○,,1800x1200mm,WD513-고정창(알루미늄) 1800x1200mm,ALB21,,E334,
,,,,514.0,목재,WD514,WD514-고정창(목재),○,,900x900mm,WD514-고정창(목재) 900x900mm,ALB41,,E334,
,,,,,,,,○,,1200x1200mm,WD514-고정창(목재) 1200x1200mm,ALB41,,E334,
,,,,,,,,○,,1500x1200mm,WD514-고정창(목재) 1500x1200mm,ALB41,,E334,
,,,,,,,,○,,1800x1200mm,WD514-고정창(목재) 1800x1200mm,ALB41,,E334,
,,,,515.0,플라스틱,WD515,WD515-고정창(플라스틱),○,,900x900mm,WD515-고정창(플라스틱) 900x900mm,ALB51,,E334,
,,,,,,,,○,,1200x1200mm,WD515-고정창(플라스틱) 1200x1200mm,ALB51,,E334,
,,,,,,,,○,,1500x1200mm,WD515-고정창(플라스틱) 1500x1200mm,ALB51,,E334,
,,,,,,,,○,,1800x1200mm,WD515-고정창(플라스틱) 1800x1200mm,ALB51,,E334,
,,520.0,배연창,,,WD520,WD520-배연창,○,,,WD520-배연창 ,ALC200,,E334,
,,,,521.0,"강재(철재,스틸)",WD521,WD521-배연창(철재),○,,,WD521-배연창(철재) ,ALC200,,E334,
,,,,,,,,○,,상부개폐 900x900mm,WD521-배연창(철재) 상부개폐 900x900mm,ALC200,,E334,
,,,,,,,,○,,상부개폐 1200x1200mm,WD521-배연창(철재) 상부개폐 1200x1200mm,ALC200,,E334,
,,,,,,,,○,,상부개폐 1500x1200mm,WD521-배연창(철재) 상부개폐 1500x1200mm,ALC200,,E334,
,,,,,,,,○,,상부개폐 1800x1200mm,WD521-배연창(철재) 상부개폐 1800x1200mm,ALC200,,E334,
,,,,,,,,○,,상부개폐 2000x1700mm,WD521-배연창(철재) 상부개폐 2000x1700mm,ALC200,,E334,
,,,,,,,,○,,상부개폐 2000x1800mm,WD521-배연창(철재) 상부개폐 2000x1800mm,ALC200,,E334,
,,,,,,,,○,,우측개폐 900x900mm,WD521-배연창(철재) 우측개폐 900x900mm,ALC200,,E334,
,,,,,,,,○,,우측개폐 1200x1200mm,WD521-배연창(철재) 우측개폐 1200x1200mm,ALC200,,E334,
,,,,,,,,○,,우측개폐 1500x1200mm,WD521-배연창(철재) 우측개폐 1500x1200mm,ALC200,,E334,
,,,,,,,,○,,우측개폐 1800x1200mm,WD521-배연창(철재) 우측개폐 1800x1200mm,ALC200,,E334,
,,,,,,,,○,,우측개폐 2000x1700mm,WD521-배연창(철재) 우측개폐 2000x1700mm,ALC200,,E334,
,,,,,,,,○,,우측개폐 2000x1800mm,WD521-배연창(철재) 우측개폐 2000x1800mm,ALC200,,E334,
,,,,,,,,○,,좌측개폐 900x900mm,WD521-배연창(철재) 좌측개폐 900x900mm,ALC200,,E334,
,,,,,,,,○,,좌측개폐 1200x1200mm,WD521-배연창(철재) 좌측개폐 1200x1200mm,ALC200,,E334,
,,,,,,,,○,,좌측개폐 1500x1200mm,WD521-배연창(철재) 좌측개폐 1500x1200mm,ALC200,,E334,
,,,,,,,,○,,좌측개폐 1800x1200mm,WD521-배연창(철재) 좌측개폐 1800x1200mm,ALC200,,E334,
,,,,,,,,○,,좌측개폐 2000x1700mm,WD521-배연창(철재) 좌측개폐 2000x1700mm,ALC200,,E334,
,,,,,,,,○,,좌측개폐 2000x1800mm,WD521-배연창(철재) 좌측개폐 2000x1800mm,ALC200,,E334,
,,,,,,,,○,,하부개폐 900x900mm,WD521-배연창(철재) 하부개폐 900x900mm,ALC200,,E334,
,,,,,,,,○,,하부개폐 1200x1200mm,WD521-배연창(철재) 하부개폐 1200x1200mm,ALC200,,E334,
,,,,,,,,○,,하부개폐 1500x1200mm,WD521-배연창(철재) 하부개폐 1500x1200mm,ALC200,,E334,
,,,,,,,,○,,하부개폐 1800x1200mm,WD521-배연창(철재) 하부개폐 1800x1200mm,ALC200,,E334,
,,,,,,,,○,,하부개폐 2000x1700mm,WD521-배연창(철재) 하부개폐 2000x1700mm,ALC200,,E334,
,,,,,,,,○,,하부개폐 2000x1800mm,WD521-배연창(철재) 하부개폐 2000x1800mm,ALC200,,E334,
,,,,,,,,○,,회전형-상하좌우 900x900mm,WD521-배연창(철재) 회전형-상하좌우 900x900mm,ALC200,,E334,
,,,,,,,,○,,회전형-상하좌우 1200x1200mm,WD521-배연창(철재) 회전형-상하좌우 1200x1200mm,ALC200,,E334,
,,,,,,,,○,,회전형-상하좌우 1500x1200mm,WD521-배연창(철재) 회전형-상하좌우 1500x1200mm,ALC200,,E334,
,,,,,,,,○,,회전형-상하좌우 1800x1200mm,WD521-배연창(철재) 회전형-상하좌우 1800x1200mm,ALC200,,E334,
,,,,,,,,○,,회전형-상하좌우 2000x1700mm,WD521-배연창(철재) 회전형-상하좌우 2000x1700mm,ALC200,,E334,
,,,,,,,,○,,회전형-상하좌우 2000x1800mm,WD521-배연창(철재) 회전형-상하좌우 2000x1800mm,ALC200,,E334,
,,,,522.0,스테인리스 스틸,WD522,WD522-배연창(스테인리스 스틸),○,,,WD522-배연창(스테인리스 스틸) ,ALC200,,E334,
,,,,,,,,○,,상부개폐 900x900mm,WD522-배연창(스테인리스 스틸) 상부개폐 900x900mm,ALC200,,E334,
,,,,,,,,○,,상부개폐 1200x1200mm,WD522-배연창(스테인리스 스틸) 상부개폐 1200x1200mm,ALC200,,E334,
,,,,,,,,○,,상부개폐 1500x1200mm,WD522-배연창(스테인리스 스틸) 상부개폐 1500x1200mm,ALC200,,E334,
