분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
SL000-슬라브,,슬래브,SL000,SL000-바닥,,○,,SL000-바닥 ,AD,,E251,
SL100-구조,,구조슬래브,SL100,SL100-구조 바닥,,○,,SL100-구조 바닥 ,AD,,E251,
,110.0-철근콘크리트,,SL110,SL110-철근콘크리트구조 바닥,,○,,SL110-철근콘크리트구조 바닥 ,AD,,E251,
,,111.0-철근콘크리트,SL111,SL111-철근콘크리트구조 바닥,,○,100mm,SL111-철근콘크리트구조 바닥 100mm,AD,,E251,
,,,,,,○,150mm,SL111-철근콘크리트구조 바닥 150mm,AD,,E251,
,,,,,,○,180mm,SL111-철근콘크리트구조 바닥 180mm,AD,,E251,
,,,,,,○,200mm,SL111-철근콘크리트구조 바닥 200mm,AD,,E251,
,,,,,,○,210mm,SL111-철근콘크리트구조 바닥 210mm,AD,,E251,
,,,,,,○,250mm,SL111-철근콘크리트구조 바닥 250mm,AD,,E251,
,,,,,,○,300mm,SL111-철근콘크리트구조 바닥 300mm,AD,,E251,
,,,,,,○,320mm,SL111-철근콘크리트구조 바닥 320mm,AD,,E251,
,,,,,,○,350mm,SL111-철근콘크리트구조 바닥 350mm,AD,,E251,
,,,,,,○,380mm,SL111-철근콘크리트구조 바닥 380mm,AD,,E251,
,,,,,,○,400mm,SL111-철근콘크리트구조 바닥 400mm,AD,,E251,
,,,,,,○,500mm,SL111-철근콘크리트구조 바닥 500mm,AD,,E251,
,,,,,,○,650mm,SL111-철근콘크리트구조 바닥 650mm,AD,,E251,
,120.0-철골 구조,,SL120,SL120-철골구조 바닥,,○,,SL120-철골구조 바닥 ,AE,,E25,
,,121.0-철골,SL121,SL121-철골 바닥,,○,,SL121-철골 바닥 ,AE,,E25,
,,122.0-데크플레이트,SL122,SL122-데크플레이트구조 바닥,,○,,SL122-데크플레이트구조 바닥 ,AEF,,E25,
,,,,,,○,150mm,SL122-데크플레이트구조 바닥 150mm,AEF,,E25,
,,,,,,○,200mm,SL122-데크플레이트구조 바닥 200mm,AEF,,E25,
,,,,,,○,250mm,SL122-데크플레이트구조 바닥 250mm,AEF,,E25,
