분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
RF000-지붕,,,RF000,RF000-지붕,,○,,RF000-지붕 ,AD,,E26,
RF100-구조,,,,,,,,,,,E26,
,110.0-철근콘크리트 구조,,,,,,,,,,E26,
,,111.0-철근콘크리트 구조,RF111,RF111-철근콘크리트구조 지붕,,○,,RF111-철근콘크리트구조 지붕 ,AD,,E26,
,120.0-철골 구조,,,,,,,,,,E26,
,130.0-철골철근콘크리트 구조,,,,,,,,,,E26,
,140.0-목구조,,,,,,,,,,E26,
RF200-조적,,,,,,,,,,,E26,
,,211.0-직선형,,,,,,,,,E26,
,,212.0-돌음형,,,,,,,,,E26,
RF300-석재 및 타일,,,,,,,,,,,E26,
RF400-목재,,,,,,,,,,,E26,
,410.0-합판,,,,,,,,,,E26,
,,411.0-내수합판,RF411,RF411-내수합판 지붕,,,,RF411-내수합판 지붕 ,AOC42,,E26,
,,,,,,,12mm,RF411-내수합판 지붕 12mm,AOC42,,E26,
,420.0-목재판넬,,,,,,,,,,E26,
,,421.0-고밀도목재판넬,RF421,RF421-고밀도목재판넬 지붕,,,,RF421-고밀도목재판넬 지붕 ,AOC42,,E26,
RF500-방수 및 미장,,,RF500,RF500-방수 지붕,,○,,RF500-방수 지붕 ,AHL400,,E26,
,510.0-방수,,RF510,RF510-방수 지붕,,○,,RF510-방수 지붕 ,AHL400,,E26,
,,511.0-복합방수,RF511,RF511-복합방수 지붕,,○,(노출),RF511-복합방수 지붕 (노출),AHL400100000,,E26,
,,,,,,,(비노출),RF511-복합방수 지붕 (비노출),AHL400200000,,E26,
,,512.0-구체방수,RF512,RF512-구체방수 지붕,,○,,RF512-구체방수 지붕 ,AHL400300000,,E26,
,,513.0-시트방수,RF513,RF513-시트방수 지붕,,,,RF513-시트방수 지붕 ,AHL400,,E26,
,,,,,,,(고무화 아스팔트),RF513-시트방수 지붕 (고무화 아스팔트),AHL400,,E26,
,,514.0-도막방수,RF514,RF514-도막방수 지붕,,,"(U.T.F.F, 경사박공)","RF514-도막방수 지붕 (U.T.F.F, 경사박공)",AHL400110000,,E26,
,520.0-방수기타,,,,,,, ,,,E26,
,,521.0-침투성 방수,RF521,RF521-침투성방수 지붕,,,,RF521-침투성방수 지붕 ,AHD000,,E26,
,,522.0-우레탄 방수,RF522,RF522-우레탄방수 지붕,,,,RF522-우레탄방수 지붕 ,,AHL400A,E26,
,,523.0-복합방수,RF523,RF523-복합방수 지붕,,,,RF523-복합방수 지붕 ,AHL400100000,,E26,
,,524.0-에폭시 방수,RF524,RF524-에폭시방수 지붕,,,,RF524-에폭시방수 지붕 ,AHI31,AHL400B,E26,
,,525.0-벤토나이트,RF525,RF525-벤토나이트 지붕,,,,RF525-벤토나이트 지붕 ,AHS0,,E26,
,,526.0-방습필름,RF526,RF526-방습필름 지붕,,,,RF526-방습필름 지붕 ,AHK,,E26,
,,527.0-비닐방수,RF527,RF527-비닐방수 지붕,,,,RF527-비닐방수 지붕 ,,AHL400C,E26,
,,528.0-액체방수,RF528,RF528-액체방수 지붕,,,,RF528-액체방수 지붕 ,,AHL400D,E26,
,,529.0-투습방수,RF529,RF529-투습방수(방수지) 지붕,,,,RF529-투습방수(방수지) 지붕 ,,AHL400E,E26,
,530.0-시멘트 모르타르,,,,,,, ,,,E26,
,,531.0-바닥미장,RF531,RF531-바닥미장 지붕,,,,RF531-바닥미장 지붕 ,AG,,E26,
,,532.0-바탕고르기,RF532,RF532-바탕고르기 지붕,,,,RF532-바탕고르기 지붕 ,AGA3,,E26,
,,533.0-보호 모르타르,RF533,RF533-보호모르타르 지붕,,,,RF533-보호모르타르 지붕 ,AHJ1,,E26,
,,534.0-면정리,RF534,RF534-면정리 지붕,,,,RF534-면정리 지붕 ,ADR130000000,,E26,
,,535.0-쇠흙손 마감,RF535,RF535-쇠흙손마감 지붕,,,,RF535-쇠흙손마감 지붕 ,ADR120,,E26,
,,536.0-하드너 마감,RF536,RF536-하드너마감 지붕,,,,RF536-하드너마감 지붕 ,AGG,,E26,
,,537.0-아스팔트 마감,RF537,RF537-아스팔트마감 지붕,,,,RF537-아스팔트마감 지붕 ,AHA,,E26,
,,538.0-조면처리,RF538,RF538-조면처리 지붕,,,,RF538-조면처리 지붕 ,ADR130,,E26,
,,539.0-방수 모르타르,RF539,RF539-방수모르타르 지붕,,,,RF539-방수모르타르 지붕 ,AHG00,,E26,
,540.0-콘크리트,,,,,,, ,,,E26,
,,541.0-무근콘크리트,RF541,RF541-무근콘크리트 지붕,,,,RF541-무근콘크리트 지붕 ,ADF,,E26,
,,,,,,,(제물치장),RF541-무근콘크리트 지붕 (제물치장),ADF,,E26,
,,,RF542,RF542-보호콘크리트 지붕,,,,RF542-보호콘크리트 지붕 ,ADF,,E26,
RF600-도장,,,,,,,-,,,,E26,
RF700-수장 및 금속,,,RF700,RF700-금속 지붕,,○,,RF700-금속 지붕 ,AJN,,E26,
,710.0-판넬,,RF710,RF710-판넬 지붕,,○,,RF710-판넬 지붕 ,AOJ42,,E26,
