분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
CE000-천장,,,CE000,CE000-천장,,○,,CE000-천장 ,,,E36,
CE100-구조,,,,,,,,,,,E36,
CE200-조적,,,,,,,,,,,E36,
CE300-석재 및 타일,,,,,,,,,,,E36,
,310.0-화강석,,CE310,CE310-화강석 천장,,○,,CE310-화강석 천장 ,AMB,,E36,
,,311-화강석 버너구이,,,,,,,,,E36,
,,312-화강석 물갈기,,,,,,,,,E36,
,,313-화강석 잔다듬,,,,,,,,,E36,
,,314-화강석 고운다듬,,,,,,,,,E36,
,,315-화강석 혹두기,,,,,,,,,E36,
,320.0-대리석,,CE320,CE320-대리석 천장,,○,,CE320-대리석 천장 ,AMB,,E36,
,,321--,,,,,,,,,E36,
,,322-대리석 물갈기,,,,,,,,,E36,
,,323--,,,,,,,,,E36,
,330.0-인조석,,CE330,CE330-인조석 천장,,○,,CE330-인조석 천장 ,AMB,,E36,
,,331-인조석,,,,,,,,,E36,
,340.0--,,,,,,,,,,E36,
,350.0-타일,,CE350,CE350-타일 천장,,○,,CE350-타일 천장 ,AMB,,E36,
,,351-자기질 타일,,,,,,,,,E36,
,,352-도기질 타일,,,,,,,,,E36,
,,353--,,,,,,,,,E36,
,,354--,,,,,,,,,E36,
,,355--,,,,,,,,,E36,
,,356-세라믹 타일,,,,,,,,,E36,
,,357-메탈 타일,CE357,CE357-메탈타일 천장,,○,,CE357-메탈타일 천장 ,,AMA19A,E36,
,,,,,,○,"(다운라이트, 600x600x0.8mm)","CE357-메탈타일 천장 (다운라이트, 600x600x0.8mm)",,AMA19A,E36,
,,359-기타,,,,,,,,,E36,
CE400-목재,,,CE400,CE400-목재천장(복합천장),,○,,CE400-목재천장(복합천장) ,AIB,,E36,
,410.0-목재 천장,,CE410,CE410-목재반자 천장,,○,,CE410-목재반자 천장 ,AIB1,,E36,
,,411-목재 반자틀,CE411,CE411-목재 반자틀 45x45 @600x600,,○,,CE411-목재 반자틀 45x45 @600x600 ,AIB1,,E36,
,420.0-합판,,CE420,CE420-합판 천장,,○,,CE420-합판 천장 ,AOC4211,,E36,
,,421-일반합판,CE421,CE421-합판 천장,,○,(2.7mm),CE421-합판 천장 (2.7mm),AOC421100000,,E36,
,,,,,,○,(4.8mm),CE421-합판 천장 (4.8mm),AOC421101000,,E36,
,,,,,,○,(5mm),CE421-합판 천장 (5mm),AOC421102000,,E36,
