분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
WA000,벽,,,,,WA000,WA000-벽,,○,,WA000-벽,AD,,,
WA100,구조,,,,,WA100,WA100-구조 벽,,○,,WA100-구조 벽,AD,,E24,
,,110.0,철근콘크리트 ,,,WA110,WA110-철근콘크리트구조 벽,,○,,WA110-철근콘크리트구조 벽 ,AD,,E24,
,,,,111,철근콘크리트  ,WA111,WA111-철근콘크리트구조 벽,,○,50mm,WA111-철근콘크리트구조 벽 50mm,AD,,E24,
,,,,,,,,,○,100mm,WA111-철근콘크리트구조 벽 100mm,AD,,E24,
,,,,,,,,,○,125mm,WA111-철근콘크리트구조 벽 125mm,AD,,E24,
,,,,,,,,,○,150mm,WA111-철근콘크리트구조 벽 150mm,AD,,E24,
,,,,,,,,,○,200mm,WA111-철근콘크리트구조 벽 200mm,AD,,E24,
,,,,,,,,,○,250mm,WA111-철근콘크리트구조 벽 250mm,AD,,E24,
,,,,,,,,,○,300mm,WA111-철근콘크리트구조 벽 300mm,AD,,E24,
,,,,,,,,,○,350mm,WA111-철근콘크리트구조 벽 350mm,AD,,E24,
,,,,,,,,,○,400mm,WA111-철근콘크리트구조 벽 400mm,AD,,E24,
,,,,,,,,,○,450mm,WA111-철근콘크리트구조 벽 450mm,AD,,E24,
,,,,,,,,,○,500mm,WA111-철근콘크리트구조 벽 500mm,AD,,E24,
,,,,,,,,,○,550mm,WA111-철근콘크리트구조 벽 550mm,AD,,E24,
,,,,,,,,,○,600mm,WA111-철근콘크리트구조 벽 600mm,AD,,E24,
,,,,,,,,,○,510mm,WA111-철근콘크리트구조 벽 510mm,AD,,E24,
,,,,,,,,,○,570mm,WA111-철근콘크리트구조 벽 570mm,AD,,E24,
,,,,,,,,,○,670mm,WA111-철근콘크리트구조 벽 670mm,AD,,E24,
,,,,,,,,,○,700mm,WA111-철근콘크리트구조 벽 700mm,AD,,E24,
,,,,,,,,,○,860mm,WA111-철근콘크리트구조 벽 860mm,AD,,E24,
,,,,,,,,,○,1060mm,WA111-철근콘크리트구조 벽 1060mm,AD,,E24,
,,120.0,철골 구조,,,WA120,WA120-철골구조 벽,,○,,WA120-철골구조 벽 ,AD,,E24,
,,130.0,철골철근콘크리트 구조,,,WA130,WA130-철골철근콘크리트구조 벽,,○,,WA130-철골철근콘크리트구조 벽 ,AD+AEA,,E24,
,,140.0,목구조 벽돌 벽,,,WA140,WA140-목구조 벽돌 벽,,○,,WA140-목구조 벽돌 벽 ,AIB200,,E24,
,,,,141,목구조 벽돌 벽,WA141,WA141-목구조 벽돌 벽,,○,(30x30@900) 30mm,WA141-목구조 벽돌 벽 (30x30@900) 30mm,AIB200100000,,E24,
,,,,,,,,,○,(30x45@600) 45mm,WA141-목구조 벽돌 벽 (30x45@600) 45mm,AIB200110000,,E24,
,,,,,,,,,○,(40x140@600) 140mm,WA141-목구조 벽돌 벽 (40x140@600) 140mm,AIB200160000,,E24,
,,,,,,,,,○,(45x45@450) 45mm,WA141-목구조 벽돌 벽 (45x45@450) 45mm,AIB200120000,,E24,
,,,,,,,,,○,(45x45@600) 45mm,WA141-목구조 벽돌 벽 (45x45@600) 45mm,,AIB2001A,E24,
,,,,,,,,,○,(45x60@600) 60mm,WA141-목구조 벽돌 벽 (45x60@600) 60mm,AIB200150000,,E24,
,,,,,,,,,○,(45x65@600) 65mm,WA141-목구조 벽돌 벽 (45x65@600) 65mm,AIB200140000,,E24,
,,,,,,,,,○,(50x50@600) 50mm,WA141-목구조 벽돌 벽 (50x50@600) 50mm,AIB200130000,,E24,
WA200,조적,,,,,WA200,WA200-조적 벽,,○,,WA200-조적 벽,AFA1,,E24,
,,210.0,시멘트 벽돌,,,WA210,WA210-시멘트벽돌 벽,,○,,WA210-시멘트벽돌 벽 ,AFA11,,E24,
,,,,211,시멘트 벽돌(일반),WA211,WA211-시멘트벽돌(일반) 벽,,○,(0.5B) 90mm,WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm,AFA111010000,,E24,
,,,,,,,,,○,(1.0B) 190mm,WA211-시멘트벽돌(일반) 벽 (1.0B) 190mm,AFA113010000,,E24,
,,,,,,,,,○,(1.5B) 290mm,WA211-시멘트벽돌(일반) 벽 (1.5B) 290mm,AFA115100000,,E24,
,,,,,,,,,○,(2.0B) 390mm,WA211-시멘트벽돌(일반) 벽 (2.0B) 390mm,AFA117100000,,E24,
,,,,212,시멘트 벽돌(공간),WA212,WA212-시멘트벽돌(공간) 벽,,○,(0.5B) ,WA212-시멘트벽돌(공간) 벽 (0.5B) ,AFA112010000,,E24,
,,,,,,,,,○,(1.0B) ,WA212-시멘트벽돌(공간) 벽 (1.0B) ,AFA114102000,,E24,
,,,,,,,,,○,(1.5B) ,WA212-시멘트벽돌(공간) 벽 (1.5B) ,AFA116102000,,E24,
,,,,213,시멘트 벽돌(아치),WA213,WA213-시멘트벽돌(아치) 벽,,,(0.5B) ,WA213-시멘트벽돌(아치) 벽 (0.5B) ,AFA118100000,,E24,
,,,,,,,,,,(1.0B) ,WA213-시멘트벽돌(아치) 벽 (1.0B) ,AFA118200000,,E24,
,,,,,,,,,,(1.5B) ,WA213-시멘트벽돌(아치) 벽 (1.5B) ,AFA118300000,,E24,
,,,,,,,,,,(2.0B) ,WA213-시멘트벽돌(아치) 벽 (2.0B) ,AFA118400000,,E24,
,,220.0,치장벽돌 ,,,WA220,WA220-치장벽돌 벽,,○,,WA220-치장벽돌 벽,AFA12,,E24,
,,,,221,치장벽돌(한면치장),WA221,WA221-치장벽돌(한면치장) 벽,,○,"(적벽돌, 0.5B) 90mm","WA221-치장벽돌(한면치장) 벽 (적벽돌, 0.5B) 90mm",AFA121121000,,E24,
