분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
,110.0-마크,111.0-도로노면표시,SE111,SE111-차량유도선,○,,직진,SE111-차량유도선 직진,CLH210,,E76,
,,,,,○,,"직진,양방향 회전 가능","SE111-차량유도선 직진,양방향 회전 가능",CLH210,,E76,
,,,,,○,,"직진,양방향에서 진입가능","SE111-차량유도선 직진,양방향에서 진입가능",CLH210,,E76,
,,,,,○,,"직진, 측면에서 진입가능","SE111-차량유도선 직진, 측면에서 진입가능",CLH210,,E76,
,,,,,○,,"직진, 좌(우)회전 금지","SE111-차량유도선 직진, 좌(우)회전 금지",CLH210,,E76,
,,,,,○,,직진금지,SE111-차량유도선 직진금지,CLH210,,E76,
,,,,,○,,"직진금지, 좌(우)회전 가능","SE111-차량유도선 직진금지, 좌(우)회전 가능",CLH210,,E76,
,,,,,○,,"직진금지, 좌우회전 가능","SE111-차량유도선 직진금지, 좌우회전 가능",CLH210,,E76,
,,,,,○,,"직진, 턴","SE111-차량유도선 직진, 턴",CLH210,,E76,
,,,,,○,,좌(우)회전중 한방향 가능,SE111-차량유도선 좌(우)회전중 한방향 가능,CLH210,,E76,
,,,,,○,,한방향 가능,SE111-차량유도선 한방향 가능,CLH210,,E76,
,,,,,○,,좌우회전 가능,SE111-차량유도선 좌우회전 가능,CLH210,,E76,
,,,,,○,,양방향 차선 합침,SE111-차량유도선 양방향 차선 합침,CLH210,,E76,
,,,,SE111-차선,○,,점선,SE111-차선 점선,CLH210,,E76,
,,,,,○,,실선,SE111-차선 실선,CLH210,,E76,
,,,,,○,,중앙선 (단선),SE111-차선 중앙선 (단선),CLH210,,E76,
,,,,,○,,중앙선 (복선),SE111-차선 중앙선 (복선),CLH210,,E76,
,,,,SE111-횡단보도,○,,1폭,SE111-횡단보도 1폭,CLH210,,E76,
,,,,,,,2폭,SE111-횡단보도 2폭,,CLH210,,
,,112.0-가로등,SE112,SE112-가로등,○,,,SE112-가로등 ,CAB450030000,,E76,
,,,,SE112-가로등 양팔형,○,,,SE112-가로등 양팔형 ,CAB450030000,,E76,
,120.0-안전용품,121.0-작업대,SE121,SE121-작업대 (일반),○,,,SE121-작업대 (일반) ,CAA31090N000,,E76,
,,,,SE121-작업대 (손잡이),○,,,SE121-작업대 (손잡이) ,CAA31090N000,,E76,
,,,,SE121-작업대 (안전발판),○,,,SE121-작업대 (안전발판) ,CAA31090N000,,E76,
,,,,SE121-작업대 (안전발판_구멍),○,,,SE121-작업대 (안전발판_구멍) ,CAA31090N000,,E76,
,,,,SE121-작업대 (이동식),○,,1단,SE121-작업대 (이동식) 1단,CAA31090N000,,E76,
,,,,,○,,2단,SE121-작업대 (이동식) 2단,CAA31090N000,,E76,
,,,,SE121-작업대 (상부지지대),○,,,SE121-작업대 (상부지지대) ,CAA31090N000,,E76,
,,,,SE121-작업대 (중간지지대),○,,,SE121-작업대 (중간지지대) ,CAA31090N000,,E76,
,,,,SE121-작업대 (하부지지대),○,,,SE121-작업대 (하부지지대) ,CAA31090N000,,E76,
,,122.0-칼라콘,SE122,SE122-칼라콘,○,,헤비콘,SE122-칼라콘 헤비콘,CAA260010200,,E76,
,,,,,○,,하이콘,SE122-칼라콘 하이콘,CAA260010200,,E76,
,,,,,○,,미니,SE122-칼라콘 미니,CAA260010200,,E76,
,,,,,,,콘표지,SE122-칼라콘 콘표지,,CAA260010200,,
,,,,SE122-칼라콘 걸이,,,봉,SE122-칼라콘 걸이 봉,,CAA260010200,,
,,,,,,,가드바,SE122-칼라콘 걸이 가드바,,CAA260010200,,
,,,,SE122-칼라콘 걸이 set,○,,봉,SE122-칼라콘 걸이 set 봉,CAA260010200,,E76,
,,,,,○,,가드바,SE122-칼라콘 걸이 set 가드바,CAA260010200,,E76,
,,,,SE122-삼각콘,○,,공사중,SE122-삼각콘 공사중,CAA260010200,,E76,
,,,,,○,,서행,SE122-삼각콘 서행,CAA260010200,,E76,
,,,,,○,,주차금지,SE122-삼각콘 주차금지,CAA260010200,,E76,
,,,,SE122-규제봉,○,,,SE122-규제봉 ,CAA260010400,,E76,
,,,,,○,,각헤드,SE122-규제봉 각헤드,CAA260010400,,E76,
,,,,,○,,각헤드 고리형,SE122-규제봉 각헤드 고리형,CAA260010400,,E76,
,,,,,,,둥근헤드 고리형,SE122-규제봉 둥근헤드 고리형,CAA260010400,,,
,,,,SE122-규제봉 연결 Set,○,,각헤드,SE122-규제봉 연결 Set 각헤드,CAA260010400,,E76,
,,,,,○,,둥근헤드,SE122-규제봉 연결 Set 둥근헤드,CAA260010400,,E76,
,,123.0-볼라드,SE123,SE123-볼라드 I형,○,,,SE123-볼라드 I형 ,CDK78510N000,,E76,
,,,,SE123-볼라드 U형,○,,,SE123-볼라드 U형 ,CDK78510N000,,E76,
,,,,SE123-볼라드 D형,○,,,SE123-볼라드 D형 ,CDK78510N000,,E76,
,,,,SE123-볼라드 H형,○,,,SE123-볼라드 H형 ,CDK78510N000,,E76,
,,,,SE123-볼라드 L형,○,,,SE123-볼라드 L형 ,CDK78510N000,,E76,
,,124.0-방호벽,SE124,SE124-방호벽 철제펜스,○,,,SE124-방호벽 철제펜스 ,CLH6,,E76,
,,,,,○,,안전망,SE124-방호벽 철제펜스 안전망,CLH6,,E76,
,,,,SE124-방호벽 PE,○,,,SE124-방호벽 PE ,CLH690000000,,E76,
,,,,SE124-방호벽 중형PE,○,,,SE124-방호벽 중형PE ,CLH690000000,,E76,
,,125.0-PE드럼,SE125,SE125-PE드럼 일체형,○,,,SE125-PE드럼 일체형 ,CAA260010100,,E76,
,,,,SE125-PE드럼 분리형,○,,,SE125-PE드럼 분리형 ,CAA260010100,,E76,
,,126.0-도로반사경,SE126,SE126-도로반사경,○,,,SE126-도로반사경 ,CLH140100000,,E76,
,,127.0-교명주,SE127,SE127-교명주,○,,,SE127-교명주 ,CKE330000000,,E76,
,,128.0-과속방지턱,SE128,SE128-과속방지턱,○,,,SE128-과속방지턱 ,CLH70000N000,,E76,
,,129.0-표지판,SE129,SE129-표지판 방향지시,○,,,SE129-표지판 방향지시 ,CLH11023,,E76,
,,,,SE129-표지판 갈매기,○,,,SE129-표지판 갈매기 ,CLH2300,,E76,
,130.0-신호안내,131.0-신호기,SE131,SE131-신호기 순차점멸,○,,,SE131-신호기 순차점멸 ,CLH9001,,E76,
,,,,SE131-신호기 폴더,○,,,SE131-신호기 폴더 ,CLH9001,,E76,
,,132.0-신호판,,SE131-공사중 신호판(사인보드) 공사중,○,,(좌),SE131-공사중 신호판(사인보드) 공사중 (좌),CAA260020,,E76,
,,,,,○,,(우),SE131-공사중 신호판(사인보드) 공사중 (우),CAA260020,,E76,
,,,,"SE131-신호판(사인보드, 일반)",○,,,"SE131-신호판(사인보드, 일반) ",APA215101400,,E76,
,,,,"SE131-신호판(사인보드, 사각)",○,,,"SE131-신호판(사인보드, 사각) ",APA215101400,,E76,
