분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
,,,ST781,ST781-철재 계단 (돌음형),,○,,ST781-철재 계단 (돌음형) ,,,E270,
,,,ST781,ST781-철재 계단 (직선형),,○,,ST781-철재 계단 (직선형) ,,,E270,
,,,ST781,ST781-철재 계단 (직선형) W=400,,○,,ST781-철재 계단 (직선형) W=400 ,AJA210100000,,E270,
,,,ST781,ST781-철재 계단 (직선형) W=500,,○,,ST781-철재 계단 (직선형) W=500 ,AJA210200000,,E270,
,,,ST781,ST781-철재 계단 (직선형) W=600,,○,,ST781-철재 계단 (직선형) W=600 ,AJA210300000,,E270,
,,,ST781,ST781-철재 계단 (직선형) W=700,,○,,ST781-철재 계단 (직선형) W=700 ,AJA210400000,,E270,
,,,ST781,ST781-철재 계단 (직선형) W=800,,○,,ST781-철재 계단 (직선형) W=800 ,AJA210500000,,E270,
,,,ST781,ST781-철재 계단 (직선형) W=900,,○,,ST781-철재 계단 (직선형) W=900 ,AJA210600000,,E270,
,,,ST781,ST781-철재 계단 (직선형) W=1000 이상,,○,,ST781-철재 계단 (직선형) W=1000 이상 ,AJA210700000,,E270,
,,782.0-스테인레스,ST782,ST782-스테인레스 계단,,○,,ST782-스테인레스 계단 ,AJA330900000,,E270,
,,,ST782,ST782-스테인레스 계단 (나선형),,○,,ST782-스테인레스 계단 (나선형) ,,,E270,
,,,ST782,ST782-스테인레스 계단 (돌음형),,○,,ST782-스테인레스 계단 (돌음형) ,,,E270,
,,,ST782,ST782-스테인레스 계단 (직선형),,○,,ST782-스테인레스 계단 (직선형) ,,,E270,
,,,ST782,ST782-스테인레스 계단 (직선형) W=400,,○,,ST782-스테인레스 계단 (직선형) W=400 ,AJA230100000,,E270,
,,,ST782,ST782-스테인레스 계단 (직선형) W=500,,○,,ST782-스테인레스 계단 (직선형) W=500 ,AJA230200000,,E270,
,,,ST782,ST782-스테인레스 계단 (직선형) W=600,,○,,ST782-스테인레스 계단 (직선형) W=600 ,AJA230300000,,E270,
,,,ST782,ST782-스테인레스 계단 (직선형) W=700,,○,,ST782-스테인레스 계단 (직선형) W=700 ,AJA230400000,,E270,
,,,ST782,ST782-스테인레스 계단 (직선형) W=800,,○,,ST782-스테인레스 계단 (직선형) W=800 ,AJA230500000,,E270,
,,,ST782,ST782-스테인레스 계단 (직선형) W=900,,○,,ST782-스테인레스 계단 (직선형) W=900 ,AJA230600000,,E270,
,,,ST782,ST782-스테인레스 계단 (직선형) W=1000 이상,,○,,ST782-스테인레스 계단 (직선형) W=1000 이상 ,AJA230700000,,E270,
,,783.0-알루미늄,ST783,ST783-알루미늄 계단,,○,,ST783-알루미늄 계단 ,AJA320900000,,E270,
,,,ST783,ST783-알루미늄 계단 (나선형),,○,,ST783-알루미늄 계단 (나선형) ,,,E270,
,,,ST783,ST783-알루미늄 계단 (돌음형),,○,,ST783-알루미늄 계단 (돌음형) ,,,E270,
,,,ST783,ST783-알루미늄 계단 (직선형),,○,,ST783-알루미늄 계단 (직선형) ,,,E270,
,,,ST783,ST783-알루미늄 계단 (직선형) W=400,,○,,ST783-알루미늄 계단 (직선형) W=400 ,AJA220100000,,E270,
,,,ST783,ST783-알루미늄 계단 (직선형) W=500,,○,,ST783-알루미늄 계단 (직선형) W=500 ,AJA220200000,,E270,
,,,ST783,ST783-알루미늄 계단 (직선형) W=600,,○,,ST783-알루미늄 계단 (직선형) W=600 ,AJA220300000,,E270,
,,,ST783,ST783-알루미늄 계단 (직선형) W=700,,○,,ST783-알루미늄 계단 (직선형) W=700 ,AJA220400000,,E270,
,,,ST783,ST783-알루미늄 계단 (직선형) W=800,,○,,ST783-알루미늄 계단 (직선형) W=800 ,AJA220500000,,E270,
,,,ST783,ST783-알루미늄 계단 (직선형) W=900,,○,,ST783-알루미늄 계단 (직선형) W=900 ,AJA220600000,,E270,
,,,ST783,ST783-알루미늄 계단 (직선형) W=1000 이상,,○,,ST783-알루미늄 계단 (직선형) W=1000 이상 ,AJA220700000,,E270,
ST800-단열,,,,,,,,,,,E270,
ST900-기타,,,,,,,,,,,E270,
,910-논슬립,,,,,,,,,,E270,
,,"911.0-강재 (철재, 스틸)",,,,,,,,,E270,
,,912.0-스텐레스스틸,,,,,,,,,E270,
,,913.0-알루미늄,,,,,,,,,E270,
,,914.0-목재,,,,,,,,,E270,
,,915.0-플라스틱,,,,,,,,,E270,
,,916.0-황동,,,,,,,,,E270,
,,917.0-논스립테이프,,,,,,,,,E270,
,920-사다리,,ST920,ST920-사다리,○,,,ST920-사다리 ,AJB,,E276,
,,"921.0-강재 (철재, 스틸)",ST921,ST921-철재 사다리,○,,W=400,ST921-철재 사다리 W=400,AJB101110000,,E276,
,,,,,○,,W=500,ST921-철재 사다리 W=500,AJB101112000,,E276,
,,,,,○,,W=600,ST921-철재 사다리 W=600,AJB101300000,,E276,
,,,,,○,,W=700,ST921-철재 사다리 W=700,AJB101400000,,E276,
,,,,,○,,W=800,ST921-철재 사다리 W=800,AJB101500000,,E276,
,,,,,○,,W=900,ST921-철재 사다리 W=900,AJB101600000,,E276,
,,,,,○,,W=1000,ST921-철재 사다리 W=1000,AJB101700000,,E276,
,,922.0-스테인레스 스틸,ST922,ST922-스테인레스 스틸 사다리,○,,W=400,ST922-스테인레스 스틸 사다리 W=400,AJB301100000,,E276,
,,,,,○,,W=500,ST922-스테인레스 스틸 사다리 W=500,AJB301200000,,E276,
,,,,,○,,W=600,ST922-스테인레스 스틸 사다리 W=600,AJB301300000,,E276,
,,,,,○,,W=700,ST922-스테인레스 스틸 사다리 W=700,AJB301400000,,E276,
,,,,,○,,W=800,ST922-스테인레스 스틸 사다리 W=800,AJB301500000,,E276,
,,,,,○,,W=900,ST922-스테인레스 스틸 사다리 W=900,AJB301600000,,E276,
,,,,,○,,W=1000,ST922-스테인레스 스틸 사다리 W=1000,AJB301700000,,E276,
,,923.0-알루미늄,ST923,ST923-알루미늄 사다리,○,,W=400,ST923-알루미늄 사다리 W=400,AJB201100000,,E276,
,,,,,○,,W=500,ST923-알루미늄 사다리 W=500,AJB201200000,,E276,
,,,,,○,,W=600,ST923-알루미늄 사다리 W=600,AJB201300000,,E276,
,,,,,○,,W=700,ST923-알루미늄 사다리 W=700,AJB201400000,,E276,
,,,,,○,,W=800,ST923-알루미늄 사다리 W=800,AJB201500000,,E276,
,,,,,○,,W=900,ST923-알루미늄 사다리 W=900,AJB201600000,,E276,
,,,,,○,,W=1000,ST923-알루미늄 사다리 W=1000,AJB201700000,,E276,
,,924.0-목재,,,,,,,,,E276,
,930-운송설비,,ST930,ST930-운송설비,,,,ST930-운송설비,,,,
,,931.0-엘리베이터(사람용),ST931,ST931-엘리베이터 승객용,,,,ST931-엘리베이터 승객용,,,,
,,,ST931,,,,,ST931-엘리베이터 승객용 (15인승),,,,
,,,ST931,,,,,ST931-엘리베이터 승객용 (24인승),,,,
,,932.0-엘리베이터(화물용),ST932,ST932-엘리베이터 화물용,,,,ST932-엘리베이터 화물용,,,,
,,933.0-에스컬레이터,ST933,ST933-에스컬레이터,,,,ST933-에스컬레이터,,,,
,,,ST933,,,,,ST933-에스컬레이터 3.5m,,,,
,,,ST933,,,,,ST933-에스컬레이터 14.5m,,,,
,,,,,22,46,,,,,,
