분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
ST000-계단,,,ST000,ST000-계단,,○,,ST000-계단 ,AD,,E270,
ST100-구조,,,ST100,ST100-구조 계단,,○,,ST100-구조 계단 ,AD,,E270,
,110-철근콘크리트 구조,,ST110,ST110-철근콘크리트구조 계단,,○,,ST110-철근콘크리트구조 계단 ,AD,,E270,
,,111.0-철근콘크리트 구조,ST111,ST111-철근콘크리트구조 계단 (직선형),,○,,ST111-철근콘크리트구조 계단 (직선형) ,AD,,E270,
,,,ST111,ST111-철근콘크리트구조 계단 (L형),,○,,ST111-철근콘크리트구조 계단 (L형) ,AD,,E270,
,,,ST111,ST111-철근콘크리트구조 계단 (U형),,○,,ST111-철근콘크리트구조 계단 (U형) ,AD,,E270,
,,,ST111,ST111-철근콘크리트구조 계단 (돌음형),,○,,ST111-철근콘크리트구조 계단 (돌음형) ,AD,,E270,
,120-철골 구조,,,,,,,,,,E270,
,,121.0-철골 구조,,,,,,,,,E270,
,130-철골철근콘크리트 구조,,,,,,,,,,E270,
,,131.0-철골철근콘크리트 구조,,,,,,,,,E270,
,140-목구조,,ST140,ST140-목구조 계단,,○,,ST140-목구조 계단 ,AIA500,,E270,
,,141.0-목구조,ST141,ST141-목구조 계단 (직선형),,○,,ST141-목구조 계단 (직선형) ,AIA500,,E270,
,,,ST141,ST141-목구조 계단 (L형),,○,,ST141-목구조 계단 (L형) ,AIA500,,E270,
,,,ST141,ST141-목구조 계단 (U형),,○,,ST141-목구조 계단 (U형) ,AIA500,,E270,
,,,ST141,ST141-목구조 계단 (돌음형),,○,,ST141-목구조 계단 (돌음형) ,AIA500,,E270,
ST200-조적,,,,,,,,,,,E270,
,210--,,,,,,,,,,E270,
,220-치장벽돌,,,,,,,,,,E270,
ST300-석재 및 타일,,,,,,,,,,,E270,
,310-화강석,,,,,,,,,,E270,
,320-대리석,,,,,,,,,,E270,
,330-인조석,,,,,,,,,,E270,
,340--,,,,,,,,,,E270,
,350-타일,,,,,,,,,,E270,
ST400-목재,,,,,,,,,,,E270,
ST500-방수 및 미장,,,,,,,,,,,E270,
,510--,,,,,,,,,,E270,
,520--,,,,,,,,,,E270,
,530-시멘트액체,,,,,,,,,,E270,
,540--,,,,,,,,,,E270,
,550-시멘트 모르타르,,,,,,,,,,E270,
ST600-도장,,,,,,,,,,,E270,
,610-수성도료,,,,,,,,,,E270,
,620-유성도료,,,,,,,,,,E270,
,630-바니쉬,,,,,,,,,,E270,
,640-락카,,,,,,,,,,E270,
,"650-방화, 방염, 내열",,,,,,,,,,E270,
,660-우레탄,,,,,,,,,,E270,
,670-에폭시,,,,,,,,,,E270,
,…,,,,,,,,,,E270,
,690-기타,,,,,,,,,,E270,
ST700-수장 및 금속,,,ST700,ST700-수장,,,,,,,E270,
,,,ST700,ST700-금속,,,,,,,E270,
,710-비닐 타일&시트,,,,,,,,,,E270,
,720-고무타일&시트,,,,,,,,,,E270,
,730-전도성타일,,,,,,,,,,E270,
,740--,,,,,,,,,,E270,
,750-카페트,,,,,,,,,,E270,
,780-금속재,,ST780,ST780-금속재 계단,,○,,ST780-금속재 계단 ,AJA,,E270,
,,"781.0-강재 (철재, 스틸)",ST781,ST781-철재 계단,,○,,ST781-철재 계단 ,AJA310900000,,E270,
,,,ST781,ST781-철재 계단 (나선형),,○,,ST781-철재 계단 (나선형) ,,,E270,
