분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
FN000,가구 및 장비,,,,,,,,,,,,,E81,
FN100,공통 ,,,,,,,,,,,,,E81,
,,110.0,휴식용 가구,,,,,,,,,,,E81,
,,,,111.0,의자,,,,,,,APA,,E81,
,,,,,,FN111,FN111-의자(일반),○,,400x400,FN111-의자(일반) 400x400,APA,,E81,의자 사이즈별 추가 가능
,,,,,,,,○,,450x450,FN111-의자(일반) 450x450,APA,,E81,
,,,,,,FN111,FN111-의자(팔걸이형),○,,400x400,FN111-의자(팔걸이형) 400x400,APA,,E81,
,,,,,,,,○,,450x450,FN111-의자(팔걸이형) 450x450,APA,,E81,
,,,,,,FN111,FN111-스툴(일반),○,,380x300,FN111-스툴(일반) 380x300,APA,,E81,
,,,,,,,,○,,380x440,FN111-스툴(일반) 380x440,APA,,E81,
,,,,,,FN111,FN111-스툴(바),○,,380x300,FN111-스툴(바) 380x300,APA,,E81,
,,,,,,,,○,,380x440,FN111-스툴(바) 380x440,APA,,E81,
,,,,,,FN111,FN111-실내 벤치,○,,960x380,FN111-실내 벤치 960x380,APA,,E81,
,,,,,,,,○,,1300x380,FN111-실내 벤치 1300x380,APA,,E81,
,,,,,,,,○,,1800x450,FN111-실내 벤치 1800x450,APA,,E81,
,,,,,,FN111,FN111-바스툴 돔 고정형,○,,650x650x500,FN111-바스툴 돔 고정형 650x650x500,APA,,E81,
,,,,,,,,○,,650x650x600,FN111-바스툴 돔 고정형 650x650x600,APA,,E81,
,,,,,,,,○,,650x650x700,FN111-바스툴 돔 고정형 650x650x700,APA,,E81,
,,,,,,,,○,,풋링 650x650x700,FN111-바스툴 돔 고정형 풋링 650x650x700,APA,,E81,
,,,,,,,,○,,풋링 650x650x800,FN111-바스툴 돔 고정형 풋링 650x650x800,APA,,E81,
,,,,,,,,○,,풋링 650x650x900,FN111-바스툴 돔 고정형 풋링 650x650x900,APA,,E81,
,,,,,,FN111,FN111-바스툴 돔 이동형,○,,650x650x500,FN111-바스툴 돔 이동형 650x650x500,APA,,E81,
,,,,,,,,○,,650x650x600,FN111-바스툴 돔 이동형 650x650x600,APA,,E81,
,,,,,,,,○,,650x650x700,FN111-바스툴 돔 이동형 650x650x700,APA,,E81,
,,,,,,,,○,,풋링 650x650x700,FN111-바스툴 돔 이동형 풋링 650x650x700,APA,,E81,
,,,,,,,,○,,풋링 650x650x800,FN111-바스툴 돔 이동형 풋링 650x650x800,APA,,E81,
,,,,,,,,○,,풋링 650x650x900,FN111-바스툴 돔 이동형 풋링 650x650x900,APA,,E81,
,,,,,,FN111,FN111-바스툴 웨이브 고정형,○,,650x650x600,FN111-바스툴 웨이브 고정형 650x650x600,APA,,E81,
,,,,,,,,○,,650x650x700,FN111-바스툴 웨이브 고정형 650x650x700,APA,,E81,
,,,,,,,,○,,650x650x800,FN111-바스툴 웨이브 고정형 650x650x800,APA,,E81,
