분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
FT000-기초,,,FT000,FT000-기초,○,,,FT000-기초 ,AD,,E06,
FT100-구조,,,FT100,FT100-구조 기초,○,,,FT100-구조 기초 ,AD,,E06,
,110.0-철근콘크리트 구조,,FT110,FT110-철근콘크리트구조 기초,○,,,FT110-철근콘크리트구조 기초 ,AD,,E06,
,,111.0-독립기초,FT111,FT111-독립기초,○,,,FT111-독립기초 ,AD,,E061,
,,,,,○,,2000x2000x900,FT111-독립기초 2000x2000x900,AD,,E061,
,,,,,○,,2800x3000x700,FT111-독립기초 2800x3000x700,AD,,E061,
,,,,FT111-독립기초 (원형),○,,,FT111-독립기초 (원형) ,AD,,E061,
,,,,FT111-독립기초 (오각형),○,,,FT111-독립기초 (오각형) ,AD,,E061,
,,112.0-벽기초,,,,,,,AD,,E06,
,,113.0-매트기초,FT113,FT113-매트기초,,○,(기초슬래브),FT113-매트기초 (기초슬래브),AD,,E063,
,,,,,,○,(기초슬래브) 500mm,FT113-매트기초 (기초슬래브) 500mm,AD,,E063,
,,,,,,○,(기초슬래브) 1000mm,FT113-매트기초 (기초슬래브) 1000mm,AD,,E063,
,,,,,,○,(기초슬래브) 1800mm,FT113-매트기초 (기초슬래브) 1800mm,AD,,E063,
,,114.0-복합기초,,,,,,,AD,,E064,
,120.0-철골 구조,,FT120,FT120-철골구조 기초,○,,,FT120-철골구조 기초 ,AE,,E069,
,,121.0-베이스플레이트,FT121,FT121-베이스플레이트,○,,,FT121-베이스플레이트 ,AE,,E069,
,,,,,○,,BP1-250x250,FT121-베이스플레이트 BP1-250x250,AE,,E069,
,,,,,○,,BP2-450x500,FT121-베이스플레이트 BP2-450x500,AE,,E069,
,,,,,○,,BP3-300x700,FT121-베이스플레이트 BP3-300x700,AE,,E069,
,,,,,○,,BP4-500x600,FT121-베이스플레이트 BP4-500x600,AE,,E069,
