분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
BM000-보,,,BM000,BM000-보,○,,,BM000-보 ,AD,,E23,
BM100-구조,,,BM100,BM100-구조 보,○,,,BM100-구조 보 ,AD,,E23,
,110.0-철근콘크리트 구조,,BM110,BM110-철근콘크리트구조 보,○,,,BM110-철근콘크리트구조 보 ,AD,,E23,
,,111.0-철근콘크리트(각형),BM111,BM111-철근콘크리트구조(각형) 보,○,,,BM111-철근콘크리트구조(각형) 보 ,AD,,E23,
,,,,,○,,400x400,BM111-철근콘크리트구조(각형) 보 400x400,AD,,E23,
,,,,,○,,500x500,BM111-철근콘크리트구조(각형) 보 500x500,AD,,E23,
,,,,,○,,250x400,BM111-철근콘크리트구조(각형) 보 250x400,AD,,E23,
,,,,,○,,250x500,BM111-철근콘크리트구조(각형) 보 250x500,AD,,E23,
,,,,,○,,300x500,BM111-철근콘크리트구조(각형) 보 300x500,AD,,E23,
,,,,,○,,400x1100,BM111-철근콘크리트구조(각형) 보 400x1100,AD,,E23,
,,,,,○,,400x500,BM111-철근콘크리트구조(각형) 보 400x500,AD,,E23,
,,,,,○,,400x600,BM111-철근콘크리트구조(각형) 보 400x600,AD,,E23,
,,,,,○,,400x850,BM111-철근콘크리트구조(각형) 보 400x850,AD,,E23,
,,,,,○,,500x1100,BM111-철근콘크리트구조(각형) 보 500x1100,AD,,E23,
,,,,,○,,500x1950,BM111-철근콘크리트구조(각형) 보 500x1950,AD,,E23,
,,,,,○,,500x400,BM111-철근콘크리트구조(각형) 보 500x400,AD,,E23,
,,,,,○,,500x850,BM111-철근콘크리트구조(각형) 보 500x850,AD,,E23,
,,,,,○,,600x1100,BM111-철근콘크리트구조(각형) 보 600x1100,AD,,E23,
,,,,,○,,600x400,BM111-철근콘크리트구조(각형) 보 600x400,AD,,E23,
,,112.0-헌치 RC보,BM112,BM112-철근콘크리트구조 헌치 보,,,,BM112-철근콘크리트구조 헌치 보 ,AD,,E23,
,,113.0-캔틸레버 RC보,BM113,BM113-철근콘크리트구조 캔틸레버 보,,,,BM113-철근콘크리트구조 캔틸레버 보 ,AD,,E23,
,,114.0-꺾임 보,BM114,BM114-꺾임 보,○,,,BM114-꺾임 보 ,AD,,E23,
,120.0-철골 구조,,BM120,BM120-철골구조 보,○,,,BM120-철골구조 보 ,AEA,,E23,
,,121.0-H 형강 보,BM121,BM121-철골구조 H형강 보,○,,,BM121-철골구조 H형강 보 ,AEA110,,E23,
,,,,,○,,(H-100x100) H-100x100x6x8,BM121-철골구조 H형강 보 (H-100x100) H-100x100x6x8,AEA110,,E23,
,,,,,○,,(H-125x125) H-125x125x6.5x9,BM121-철골구조 H형강 보 (H-125x125) H-125x125x6.5x9,AEA110,,E23,
,,,,,○,,(H-150x75) H-150x75x5x7,BM121-철골구조 H형강 보 (H-150x75) H-150x75x5x7,AEA110,,E23,
,,,,,○,,(H-150x100) H-148x100x6x9,BM121-철골구조 H형강 보 (H-150x100) H-148x100x6x9,AEA110,,E23,
,,,,,○,,(H-150x150) H-150x150x7x10,BM121-철골구조 H형강 보 (H-150x150) H-150x150x7x10,AEA110,,E23,
,,,,,○,,(H-200x100) H-198x99x4.5x7,BM121-철골구조 H형강 보 (H-200x100) H-198x99x4.5x7,AEA110,,E23,
,,,,,○,,(H-200x100) H-200x100x5.5x8,BM121-철골구조 H형강 보 (H-200x100) H-200x100x5.5x8,AEA110,,E23,
,,,,,○,,H-200x150) H-194x150x6x9,BM121-철골구조 H형강 보 H-200x150) H-194x150x6x9,AEA110,,E23,
,,,,,○,,(H-200x200) H-200x200x8x12,BM121-철골구조 H형강 보 (H-200x200) H-200x200x8x12,AEA110,,E23,
,,,,,○,,(H-200x200) H-200x204x12x12,BM121-철골구조 H형강 보 (H-200x200) H-200x204x12x12,AEA110,,E23,
,,,,,○,,(H-200x200) H-208x202x10x16,BM121-철골구조 H형강 보 (H-200x200) H-208x202x10x16,AEA110,,E23,
,,,,,○,,(H-250x125) H-248x124x5x8,BM121-철골구조 H형강 보 (H-250x125) H-248x124x5x8,AEA110,,E23,
,,,,,○,,(H-250x125) H-250x125x6x9,BM121-철골구조 H형강 보 (H-250x125) H-250x125x6x9,AEA110,,E23,
,,,,,○,,(H-250x175) H-244x175x7x11,BM121-철골구조 H형강 보 (H-250x175) H-244x175x7x11,AEA110,,E23,
,,,,,○,,(H-250x250) H-244x252x11x11,BM121-철골구조 H형강 보 (H-250x250) H-244x252x11x11,AEA110,,E23,
,,,,,○,,(H-250x250) H-248x249x8x13,BM121-철골구조 H형강 보 (H-250x250) H-248x249x8x13,AEA110,,E23,
,,,,,○,,(H-250x250) H-250x250x9x14,BM121-철골구조 H형강 보 (H-250x250) H-250x250x9x14,AEA110,,E23,
,,,,,○,,(H-250x250) H-250x255x14x14,BM121-철골구조 H형강 보 (H-250x250) H-250x255x14x14,AEA110,,E23,
,,,,,○,,(H-300x150) H-298x149x5.5x8,BM121-철골구조 H형강 보 (H-300x150) H-298x149x5.5x8,AEA110,,E23,
,,,,,○,,(H-300x150) H-300x150x6.5x9,BM121-철골구조 H형강 보 (H-300x150) H-300x150x6.5x9,AEA110,,E23,
,,,,,○,,(H-300x200) H-294x200x8x12,BM121-철골구조 H형강 보 (H-300x200) H-294x200x8x12,AEA110,,E23,
,,,,,○,,(H-300x200) H-298x201x9x14,BM121-철골구조 H형강 보 (H-300x200) H-298x201x9x14,AEA110,,E23,
,,,,,○,,(H-300x300) H-294x302x12x12,BM121-철골구조 H형강 보 (H-300x300) H-294x302x12x12,AEA110,,E23,
,,,,,○,,(H-300x300) H-298x299x9x14,BM121-철골구조 H형강 보 (H-300x300) H-298x299x9x14,AEA110,,E23,
,,,,,○,,(H-300x300) H-300x300x10x15,BM121-철골구조 H형강 보 (H-300x300) H-300x300x10x15,AEA110,,E23,
,,,,,○,,(H-300x300) H-300x305x15x15,BM121-철골구조 H형강 보 (H-300x300) H-300x305x15x15,AEA110,,E23,
,,,,,○,,(H-300x300) H-304x301x11x17,BM121-철골구조 H형강 보 (H-300x300) H-304x301x11x17,AEA110,,E23,
,,,,,○,,(H-300x300) H-310x305x15x20,BM121-철골구조 H형강 보 (H-300x300) H-310x305x15x20,AEA110,,E23,
,,,,,○,,(H-300x300) H-310x310x20x20,BM121-철골구조 H형강 보 (H-300x300) H-310x310x20x20,AEA110,,E23,
,,,,,○,,(H-350x175) H-346x174x6x9,BM121-철골구조 H형강 보 (H-350x175) H-346x174x6x9,AEA110,,E23,
,,,,,○,,(H-350x175) H-350x175x7x11,BM121-철골구조 H형강 보 (H-350x175) H-350x175x7x11,AEA110,,E23,
,,,,,○,,(H-350x175) H-354x176x8x13,BM121-철골구조 H형강 보 (H-350x175) H-354x176x8x13,AEA110,,E23,
,,,,,○,,(H-350x250) H-336x249x8x12,BM121-철골구조 H형강 보 (H-350x250) H-336x249x8x12,AEA110,,E23,
,,,,,○,,(H-350x250) H-340x250x9x14,BM121-철골구조 H형강 보 (H-350x250) H-340x250x9x14,AEA110,,E23,
,,,,,○,,(H-350x350) H-338x351x13x13,BM121-철골구조 H형강 보 (H-350x350) H-338x351x13x13,AEA110,,E23,
,,,,,○,,(H-350x350) H-344x348x10x16,BM121-철골구조 H형강 보 (H-350x350) H-344x348x10x16,AEA110,,E23,
,,,,,○,,(H-350x350) H-344x354x16x16,BM121-철골구조 H형강 보 (H-350x350) H-344x354x16x16,AEA110,,E23,
,,,,,○,,(H-350x350) H-350x350x12x19,BM121-철골구조 H형강 보 (H-350x350) H-350x350x12x19,AEA110,,E23,
,,,,,○,,(H-350x350) H-350x357x19x19,BM121-철골구조 H형강 보 (H-350x350) H-350x357x19x19,AEA110,,E23,
,,,,,○,,(H-400x200) H-396x199x7x11,BM121-철골구조 H형강 보 (H-400x200) H-396x199x7x11,AEA110,,E23,
,,,,,○,,(H-400x200) H-400x200x8x13,BM121-철골구조 H형강 보 (H-400x200) H-400x200x8x13,AEA110,,E23,
,,,,,○,,(H-400x200) H-404x201x9x15,BM121-철골구조 H형강 보 (H-400x200) H-404x201x9x15,AEA110,,E23,
,,,,,○,,(H-400x300) H-386x299x9x14,BM121-철골구조 H형강 보 (H-400x300) H-386x299x9x14,AEA110,,E23,
,,,,,○,,(H-400x300) H-390x300x10x16,BM121-철골구조 H형강 보 (H-400x300) H-390x300x10x16,AEA110,,E23,
,,,,,○,,(H-400x400) H-388x402x15x15,BM121-철골구조 H형강 보 (H-400x400) H-388x402x15x15,AEA110,,E23,
,,,,,○,,(H-400x400) H-394x398x11x18,BM121-철골구조 H형강 보 (H-400x400) H-394x398x11x18,AEA110,,E23,
,,,,,○,,(H-400x400) H-394x405x18x18,BM121-철골구조 H형강 보 (H-400x400) H-394x405x18x18,AEA110,,E23,
,,,,,○,,(H-400x400) H-400x400x13x21,BM121-철골구조 H형강 보 (H-400x400) H-400x400x13x21,AEA110,,E23,
,,,,,○,,(H-400x400) H-400x408x21x21,BM121-철골구조 H형강 보 (H-400x400) H-400x408x21x21,AEA110,,E23,
,,,,,○,,(H-400x400) H-406x403x16x24,BM121-철골구조 H형강 보 (H-400x400) H-406x403x16x24,AEA110,,E23,
,,,,,○,,(H-400x400) H-414x405x18x28,BM121-철골구조 H형강 보 (H-400x400) H-414x405x18x28,AEA110,,E23,
,,,,,○,,(H-400x400) H-428x407x20x35,BM121-철골구조 H형강 보 (H-400x400) H-428x407x20x35,AEA110,,E23,
,,,,,○,,(H-450x200) H-446x199x8x12,BM121-철골구조 H형강 보 (H-450x200) H-446x199x8x12,AEA110,,E23,
,,,,,○,,(H-450x200) H-450x200x9x14,BM121-철골구조 H형강 보 (H-450x200) H-450x200x9x14,AEA110,,E23,
,,,,,○,,(H-450x300) H-434x299x10x15,BM121-철골구조 H형강 보 (H-450x300) H-434x299x10x15,AEA110,,E23,
,,,,,○,,(H-450x300) H-440x300x11x18,BM121-철골구조 H형강 보 (H-450x300) H-440x300x11x18,AEA110,,E23,
,,,,,○,,(H-450x400) H-458x417x30x50,BM121-철골구조 H형강 보 (H-450x400) H-458x417x30x50,AEA110,,E23,
,,,,,○,,(H-500x200) H-496x199x9x14,BM121-철골구조 H형강 보 (H-500x200) H-496x199x9x14,AEA110,,E23,
,,,,,○,,(H-500x200) H-500x200x10x16,BM121-철골구조 H형강 보 (H-500x200) H-500x200x10x16,AEA110,,E23,
,,,,,○,,(H-500x200) H-500x201x11x19,BM121-철골구조 H형강 보 (H-500x200) H-500x201x11x19,AEA110,,E23,
,,,,,○,,(H-500x300) H-482x300x11x15,BM121-철골구조 H형강 보 (H-500x300) H-482x300x11x15,AEA110,,E23,
,,,,,○,,(H-500x300) H-488x300x11x18,BM121-철골구조 H형강 보 (H-500x300) H-488x300x11x18,AEA110,,E23,
,,,,,○,,(H-500x400) H-498x432x45x70,BM121-철골구조 H형강 보 (H-500x400) H-498x432x45x70,AEA110,,E23,
,,,,,○,,(H-600x200) H-596x199x10x15,BM121-철골구조 H형강 보 (H-600x200) H-596x199x10x15,AEA110,,E23,
,,,,,○,,(H-600x200) H-600x200x11x17,BM121-철골구조 H형강 보 (H-600x200) H-600x200x11x17,AEA110,,E23,
,,,,,○,,(H-600x200) H-606x201x12x20,BM121-철골구조 H형강 보 (H-600x200) H-606x201x12x20,AEA110,,E23,
,,,,,○,,(H-600x200) H-612x202x13x23,BM121-철골구조 H형강 보 (H-600x200) H-612x202x13x23,AEA110,,E23,
,,,,,○,,(H-600x300) H-582x300x12x17,BM121-철골구조 H형강 보 (H-600x300) H-582x300x12x17,AEA110,,E23,
,,,,,○,,(H-600x300) H-588x300x12x20,BM121-철골구조 H형강 보 (H-600x300) H-588x300x12x20,AEA110,,E23,
,,,,,○,,(H-600x300) H-594x302x14x23,BM121-철골구조 H형강 보 (H-600x300) H-594x302x14x23,AEA110,,E23,
,,,,,○,,(H-700x300) H-692x300x13x20,BM121-철골구조 H형강 보 (H-700x300) H-692x300x13x20,AEA110,,E23,
,,,,,○,,(H-700x300) H-700x300x13x24,BM121-철골구조 H형강 보 (H-700x300) H-700x300x13x24,AEA110,,E23,
,,,,,○,,(H-700x300) H-708x302x15x28,BM121-철골구조 H형강 보 (H-700x300) H-708x302x15x28,AEA110,,E23,
,,,,,○,,(H-800x300) H-792x300x14x22,BM121-철골구조 H형강 보 (H-800x300) H-792x300x14x22,AEA110,,E23,
,,,,,○,,(H-800x300) H-800x300x14x26,BM121-철골구조 H형강 보 (H-800x300) H-800x300x14x26,AEA110,,E23,
,,,,,○,,(H-800x300) H-808x302x16x30,BM121-철골구조 H형강 보 (H-800x300) H-808x302x16x30,AEA110,,E23,
,,,,,○,,(H-900x300) H-890x299x15x23,BM121-철골구조 H형강 보 (H-900x300) H-890x299x15x23,AEA110,,E23,
,,,,,○,,(H-900x300) H-900x300x16x28,BM121-철골구조 H형강 보 (H-900x300) H-900x300x16x28,AEA110,,E23,
,,,,,○,,(H-900x300) H-912x302x18x24,BM121-철골구조 H형강 보 (H-900x300) H-912x302x18x24,AEA110,,E23,
,,,,,○,,(H-900x300) H-918x303x19x37,BM121-철골구조 H형강 보 (H-900x300) H-918x303x19x37,AEA110,,E23,
,,122.0-I 형강  보,BM122,BM122-철골구조 I 형강 보,○,,,BM122-철골구조 I 형강 보 ,AEA120,,E23,
,,,,,○,,(100x75) I-100x75x5x8,BM122-철골구조 I 형강 보 (100x75) I-100x75x5x8,AEA120,,E23,
,,,,,○,,(125x75) I-125x75x5.5x9.5,BM122-철골구조 I 형강 보 (125x75) I-125x75x5.5x9.5,AEA120,,E23,
,,,,,○,,(150x75) I-150x75x5.5x9.5,BM122-철골구조 I 형강 보 (150x75) I-150x75x5.5x9.5,AEA120,,E23,
,,,,,○,,(150x125) I-150x125x8.5x14,BM122-철골구조 I 형강 보 (150x125) I-150x125x8.5x14,AEA120,,E23,
,,,,,○,,(180x100) I-180x100x6x10,BM122-철골구조 I 형강 보 (180x100) I-180x100x6x10,AEA120,,E23,
,,,,,○,,(200x100) I-200x100x7x10,BM122-철골구조 I 형강 보 (200x100) I-200x100x7x10,AEA120,,E23,
,,,,,○,,(200x150) I-200x150x9x16,BM122-철골구조 I 형강 보 (200x150) I-200x150x9x16,AEA120,,E23,
,,,,,○,,(250x125) I-250x125x7.5x12.5,BM122-철골구조 I 형강 보 (250x125) I-250x125x7.5x12.5,AEA120,,E23,
,,,,,○,,(250x125) I-250x125x10x19,BM122-철골구조 I 형강 보 (250x125) I-250x125x10x19,AEA120,,E23,
,,,,,○,,(300x150) I-300x150x8x13,BM122-철골구조 I 형강 보 (300x150) I-300x150x8x13,AEA120,,E23,
,,,,,○,,(300x150) I-300x150x10x18.5,BM122-철골구조 I 형강 보 (300x150) I-300x150x10x18.5,AEA120,,E23,
,,,,,○,,(300x150) I-300x150x11.5x22,BM122-철골구조 I 형강 보 (300x150) I-300x150x11.5x22,AEA120,,E23,
,,,,,○,,(350x150) I-350x150x9x15,BM122-철골구조 I 형강 보 (350x150) I-350x150x9x15,AEA120,,E23,
,,,,,○,,(350x150) I-350x150x12x24,BM122-철골구조 I 형강 보 (350x150) I-350x150x12x24,AEA120,,E23,
,,,,,○,,(400x150) I-400x150x10x18,BM122-철골구조 I 형강 보 (400x150) I-400x150x10x18,AEA120,,E23,
,,,,,○,,(400x150) I-400x150x12.5x25,BM122-철골구조 I 형강 보 (400x150) I-400x150x12.5x25,AEA120,,E23,
,,,,,○,,(450x175) I-450x175x11x20,BM122-철골구조 I 형강 보 (450x175) I-450x175x11x20,AEA120,,E23,
,,,,,○,,(450x175) I-450x175x13x26,BM122-철골구조 I 형강 보 (450x175) I-450x175x13x26,AEA120,,E23,
,,,,,○,,(600x190) I-600x190x13x25,BM122-철골구조 I 형강 보 (600x190) I-600x190x13x25,AEA120,,E23,
,,,,,○,,(600x190) I-600x190x16x35,BM122-철골구조 I 형강 보 (600x190) I-600x190x16x35,AEA120,,E23,
,,123.0-ㄱ 형강 보,BM123,BM123-철골구조 ㄱ형강 보,○,,,BM123-철골구조 ㄱ형강 보 ,AEA160,,E23,
,,,,,○,,(ㄱ-25x25) ㄱ-25x25x3,BM123-철골구조 ㄱ형강 보 (ㄱ-25x25) ㄱ-25x25x3,AEA160,,E23,
,,,,,○,,(ㄱ-30x30) ㄱ-30x30x3,BM123-철골구조 ㄱ형강 보 (ㄱ-30x30) ㄱ-30x30x3,AEA160,,E23,
,,,,,○,,(ㄱ-40x40) ㄱ-40x40x3,BM123-철골구조 ㄱ형강 보 (ㄱ-40x40) ㄱ-40x40x3,AEA160,,E23,
,,,,,○,,(ㄱ-40x40) ㄱ-40x40x4,BM123-철골구조 ㄱ형강 보 (ㄱ-40x40) ㄱ-40x40x4,AEA160,,E23,
,,,,,○,,(ㄱ-40x40) ㄱ-40x40x5,BM123-철골구조 ㄱ형강 보 (ㄱ-40x40) ㄱ-40x40x5,AEA160,,E23,
,,,,,○,,(ㄱ-45x45) ㄱ-45x45x4,BM123-철골구조 ㄱ형강 보 (ㄱ-45x45) ㄱ-45x45x4,AEA160,,E23,
,,,,,○,,(ㄱ-45x45) ㄱ-45x45x5,BM123-철골구조 ㄱ형강 보 (ㄱ-45x45) ㄱ-45x45x5,AEA160,,E23,
,,,,,○,,(ㄱ-50x50) ㄱ-50x50x4,BM123-철골구조 ㄱ형강 보 (ㄱ-50x50) ㄱ-50x50x4,AEA160,,E23,
,,,,,○,,(ㄱ-50x50) ㄱ-50x50x5,BM123-철골구조 ㄱ형강 보 (ㄱ-50x50) ㄱ-50x50x5,AEA160,,E23,
,,,,,○,,(ㄱ-50x50) ㄱ-50x50x6,BM123-철골구조 ㄱ형강 보 (ㄱ-50x50) ㄱ-50x50x6,AEA160,,E23,
,,,,,○,,(ㄱ-60x60) ㄱ-60x60x4,BM123-철골구조 ㄱ형강 보 (ㄱ-60x60) ㄱ-60x60x4,AEA160,,E23,
,,,,,○,,(ㄱ-60x60) ㄱ-60x60x5,BM123-철골구조 ㄱ형강 보 (ㄱ-60x60) ㄱ-60x60x5,AEA160,,E23,
,,,,,○,,(ㄱ-60x60) ㄱ-60x60x6,BM123-철골구조 ㄱ형강 보 (ㄱ-60x60) ㄱ-60x60x6,AEA160,,E23,
,,,,,○,,(ㄱ-65x65) ㄱ-65x65x5,BM123-철골구조 ㄱ형강 보 (ㄱ-65x65) ㄱ-65x65x5,AEA160,,E23,
,,,,,○,,(ㄱ-65x65) ㄱ-65x65x6,BM123-철골구조 ㄱ형강 보 (ㄱ-65x65) ㄱ-65x65x6,AEA160,,E23,
,,,,,○,,(ㄱ-65x65) ㄱ-65x65x8,BM123-철골구조 ㄱ형강 보 (ㄱ-65x65) ㄱ-65x65x8,AEA160,,E23,
