분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
RP000-램프,,,RP000,RP000-램프,,○,,RP000-램프 ,AD,,E275,
RP100-구조,,,RP100,RP100-구조 램프,,○,,RP100-구조 램프 ,AD,,E275,
,110.0-철근콘크리트 구조,,RP110,RP110-철근콘크리트구조 램프,,○,,RP110-철근콘크리트구조 램프 ,AD,,E275,
,,111.0-철근콘크리트 구조,RP111,RP111-철근콘크리트구조 램프 (직선형),,○,,RP111-철근콘크리트구조 램프 (직선형) ,AD,,E275,
,,,RP111,RP111-철근콘크리트구조 램프 (돌음형),,○,,RP111-철근콘크리트구조 램프 (돌음형) ,AD,,E275,
RP200-조적,,,,,,,,,,,E275,
RP300-석재 및 타일,,,,,,,,,,,E275,
RP400-목재,,,,,,,,,,,E275,
RP500-방수 및 미장,,,,,,,,,,,E275,
RP600-도장,,,,,,,,,,,E275,
RP700-수장 및 금속,,,,,,,,,,,E275,
RP800-단열,,,,,,,,,,,E275,
RP900-기타,,,,,,,,,,,E275,
