분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
,,,,,,,,○,도,도장포함 900x2400mm,"DR111-외여닫이문(철재, 방화문) 도장포함 900x2400mm",ALA110204000,,E333,
,,,,,,,,○,도,도장포함 1000x1800mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1000x1800mm",ALA110205000,,E333,
,,,,,,,,○,도,도장포함 1000x1900mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1000x1900mm",ALA110206000,,E333,
,,,,,,,,○,도,도장포함 1000x2000mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1000x2000mm",ALA110207000,,E333,
,,,,,,,,○,도,도장포함 1000x2100mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1000x2100mm",ALA110208000,,E333,
,,,,,,,,○,도,도장포함 1000x2400mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1000x2400mm",ALA110209000,,E333,
,,,,,,,,○,도,도장포함 1100x1800mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1100x1800mm",ALA110210000,,E333,
,,,,,,,,○,도,도장포함 1100x1900mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1100x1900mm",ALA110211000,,E333,
,,,,,,,,○,도,도장포함 1100x2000mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1100x2000mm",ALA110212000,,E333,
,,,,,,,,○,도,도장포함 1100x2100mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1100x2100mm",ALA110213000,,E333,
,,,,,,,,○,도,도장포함 1100x2400mm,"DR111-외여닫이문(철재, 방화문) 도장포함 1100x2400mm",ALA110214000,,E333,
,,,,,,,,○,유,유리포함 900x1800mm,"DR111-외여닫이문(철재, 방화문) 유리포함 900x1800mm",,ALA11020000A,E333,
,,,,,,,,○,유,유리포함 900x1900mm,"DR111-외여닫이문(철재, 방화문) 유리포함 900x1900mm",,ALA11020100A,E333,
,,,,,,,,○,유,유리포함 900x2000mm,"DR111-외여닫이문(철재, 방화문) 유리포함 900x2000mm",,ALA11020200A,E333,
,,,,,,,,○,유,유리포함 900x2100mm,"DR111-외여닫이문(철재, 방화문) 유리포함 900x2100mm",,ALA11020300A,E333,
,,,,,,,,○,유,유리포함 900x2400mm,"DR111-외여닫이문(철재, 방화문) 유리포함 900x2400mm",,ALA11020400A,E333,
,,,,,,,,○,유,유리포함 1000x1800mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1000x1800mm",,ALA11020500A,E333,
,,,,,,,,○,유,유리포함 1000x1900mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1000x1900mm",,ALA11020600A,E333,
,,,,,,,,○,유,유리포함 1000x2000mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1000x2000mm",,ALA11020700A,E333,
,,,,,,,,○,유,유리포함 1000x2100mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1000x2100mm",,ALA11020800A,E333,
,,,,,,,,○,유,유리포함 1000x2400mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1000x2400mm",,ALA11020900A,E333,
,,,,,,,,○,유,유리포함 1100x1800mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1100x1800mm",,ALA11021000A,E333,
,,,,,,,,○,유,유리포함 1100x1900mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1100x1900mm",,ALA11021100A,E333,
,,,,,,,,○,유,유리포함 1100x2000mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1100x2000mm",,ALA11021200A,E333,
,,,,,,,,○,유,유리포함 1100x2100mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1100x2100mm",,ALA11021300A,E333,
,,,,,,,,○,유,유리포함 1100x2400mm,"DR111-외여닫이문(철재, 방화문) 유리포함 1100x2400mm",,ALA11021400A,E333,
,,,,,,DR111,"DR111-외여닫이문(철재, 일반)",○,,900x1800mm,"DR111-외여닫이문(철재, 일반) 900x1800mm",ALA120100000,,E333,
,,,,,,,,○,,900x1900mm,"DR111-외여닫이문(철재, 일반) 900x1900mm",ALA120101000,,E333,
,,,,,,,,○,,900x2000mm,"DR111-외여닫이문(철재, 일반) 900x2000mm",ALA120102000,,E333,
,,,,,,,,○,,900x2100mm,"DR111-외여닫이문(철재, 일반) 900x2100mm",ALA120103000,,E333,
,,,,,,,,○,,900x2400mm,"DR111-외여닫이문(철재, 일반) 900x2400mm",ALA120104000,,E333,
,,,,,,,,○,,1000x1800mm,"DR111-외여닫이문(철재, 일반) 1000x1800mm",ALA120105000,,E333,
,,,,,,,,○,,1000x1900mm,"DR111-외여닫이문(철재, 일반) 1000x1900mm",ALA120106000,,E333,
,,,,,,,,○,,1000x2000mm,"DR111-외여닫이문(철재, 일반) 1000x2000mm",ALA120107000,,E333,
,,,,,,,,○,,1000x2100mm,"DR111-외여닫이문(철재, 일반) 1000x2100mm",ALA120108000,,E333,
,,,,,,,,○,,1000x2400mm,"DR111-외여닫이문(철재, 일반) 1000x2400mm",ALA120109000,,E333,
,,,,,,,,○,,1100x1800mm,"DR111-외여닫이문(철재, 일반) 1100x1800mm",ALA120120000,,E333,
,,,,,,,,○,,1100x1900mm,"DR111-외여닫이문(철재, 일반) 1100x1900mm",ALA120112000,,E333,
,,,,,,,,○,,1100x2000mm,"DR111-외여닫이문(철재, 일반) 1100x2000mm",ALA120115000,,E333,
,,,,,,,,○,,1100x2100mm,"DR111-외여닫이문(철재, 일반) 1100x2100mm",ALA120113000,,E333,
,,,,,,,,○,,1100x2400mm,"DR111-외여닫이문(철재, 일반) 1100x2400mm",ALA120114000,,E333,
,,,,,,,,○,도,도장포함 900x1800mm,"DR111-외여닫이문(철재, 일반) 도장포함 900x1800mm",ALA120200000,,E333,
