분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
LA000,조경,,,,,,,,,,,CDK12,,E985,
LA100,조경 식재,,,,,,,,,,,CDK12,,E985,
,,110.0,상록교목수,,,,,,,,,CDK12,,E985,
,,,,111.0,상록교목수(침엽수),LA111,LA111-상록교목수(침엽수) ,,,,LA111-상록교목수(침엽수)  ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 가시나무,,,,LA111-상록교목수(침엽수) 가시나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 가이즈까향(조형),,,,LA111-상록교목수(침엽수) 가이즈까향(조형) ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 가이즈까향나무,,,,LA111-상록교목수(침엽수) 가이즈까향나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 구상나무,,,,LA111-상록교목수(침엽수) 구상나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 굴거리나무,,,,LA111-상록교목수(침엽수) 굴거리나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 금송,,,,LA111-상록교목수(침엽수) 금송 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 대나무,,,,LA111-상록교목수(침엽수) 대나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 독일가문비,,,,LA111-상록교목수(침엽수) 독일가문비 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 서양측백,,,,LA111-상록교목수(침엽수) 서양측백 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 선주목,,,,LA111-상록교목수(침엽수) 선주목 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 섬잣나무,,,,LA111-상록교목수(침엽수) 섬잣나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 소나무,,,,LA111-상록교목수(침엽수) 소나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 소나무(둥근형),○,,,LA111-상록교목수(침엽수) 소나무(둥근형) ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 소나무(장송),,,,LA111-상록교목수(침엽수) 소나무(장송) ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 스트로브잣나무,,,,LA111-상록교목수(침엽수) 스트로브잣나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 스트로브잣나무(둥근형),,,,LA111-상록교목수(침엽수) 스트로브잣나무(둥근형) ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 실편백,○,,,LA111-상록교목수(침엽수) 실편백 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 아왜나무,○,,,LA111-상록교목수(침엽수) 아왜나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 애기동백나무,,,,LA111-상록교목수(침엽수) 애기동백나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 잣나무,,,,LA111-상록교목수(침엽수) 잣나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 전나무,○,,,LA111-상록교목수(침엽수) 전나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 주목,,,,LA111-상록교목수(침엽수) 주목 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 측백나무,○,,,LA111-상록교목수(침엽수) 측백나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 측백나무(둥근형),○,,,LA111-상록교목수(침엽수) 측백나무(둥근형) ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 태산목,○,,,LA111-상록교목수(침엽수) 태산목 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 편백,,,,LA111-상록교목수(침엽수) 편백 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 해송,,,,LA111-상록교목수(침엽수) 해송 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 향나무,,,,LA111-상록교목수(침엽수) 향나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 호랑가시나무,,,,LA111-상록교목수(침엽수) 호랑가시나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 홍가시나무,,,,LA111-상록교목수(침엽수) 홍가시나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 화백,,,,LA111-상록교목수(침엽수) 화백 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 황금편백,○,,,LA111-상록교목수(침엽수) 황금편백 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 후박나무,,,,LA111-상록교목수(침엽수) 후박나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 후피향나무,,,,LA111-상록교목수(침엽수) 후피향나무 ,CDK12010N000,,E985,
,,,,,,LA111,LA111-상록교목수(침엽수) 히말라야시다,○,,,LA111-상록교목수(침엽수) 히말라야시다 ,CDK12010N000,,E985,
,,,,112.0,상록교목수(활엽수),LA112,LA112-상록교목수(활엽수) ,,,,LA112-상록교목수(활엽수)  ,CDK12010N000,,E985,
,,,,,,LA112,LA112-상록교목수(활엽수) 구실잣밤나무,,,,LA112-상록교목수(활엽수) 구실잣밤나무 ,CDK12010N000,,E985,
,,,,,,LA112,LA112-상록교목수(활엽수) 동백나무,,,,LA112-상록교목수(활엽수) 동백나무 ,CDK12010N000,,E985,
,,,,,,LA112,LA112-상록교목수(활엽수) 동백나무(겹),,,,LA112-상록교목수(활엽수) 동백나무(겹) ,CDK12010N000,,E985,
,,120.0,낙엽교목수,,,,,,,,,CDK12,,E985,
,,,,121.0,낙엽교목수(침엽수),LA121,LA121-낙엽교목수(침엽수),,,,LA121-낙엽교목수(침엽수) ,CDK12010N000,,E985,
,,,,,,LA121,LA121-낙엽교목수(침엽수) 메타세퀘이아,,,,LA121-낙엽교목수(침엽수) 메타세퀘이아 ,CDK12010N000,,E985,
,,,,122.0,낙엽교목수(활엽수),LA122,LA122-낙엽교목수(활엽수),,,,LA122-낙엽교목수(활엽수) ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 가중나무,,,,LA122-낙엽교목수(활엽수) 가중나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 갈참나무,,,,LA122-낙엽교목수(활엽수) 갈참나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 감나무,○,,,LA122-낙엽교목수(활엽수) 감나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 겹벚나무,,,,LA122-낙엽교목수(활엽수) 겹벚나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 계수나무,,,,LA122-낙엽교목수(활엽수) 계수나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 고로쇠나무,,,,LA122-낙엽교목수(활엽수) 고로쇠나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 굴참나무,,,,LA122-낙엽교목수(활엽수) 굴참나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 귀룽나무,○,,,LA122-낙엽교목수(활엽수) 귀룽나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 꽃복숭아,,,,LA122-낙엽교목수(활엽수) 꽃복숭아 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 꽃사과,○,,,LA122-낙엽교목수(활엽수) 꽃사과 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 꽃산딸나무,○,,,LA122-낙엽교목수(활엽수) 꽃산딸나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 꽃아그배나무,,,,LA122-낙엽교목수(활엽수) 꽃아그배나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 낙우송,,,,LA122-낙엽교목수(활엽수) 낙우송 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 노각나무,○,,,LA122-낙엽교목수(활엽수) 노각나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 노르웨이단풍,,,,LA122-낙엽교목수(활엽수) 노르웨이단풍 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 느릅나무,,,,LA122-낙엽교목수(활엽수) 느릅나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 느티나무,,,,LA122-낙엽교목수(활엽수) 느티나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 다릅나무,○,,,LA122-낙엽교목수(활엽수) 다릅나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 대왕참나무,,,,LA122-낙엽교목수(활엽수) 대왕참나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 대추나무,,,,LA122-낙엽교목수(활엽수) 대추나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 두충나무,,,,LA122-낙엽교목수(활엽수) 두충나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 들메나무,,,,LA122-낙엽교목수(활엽수) 들메나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 때죽나무,,,,LA122-낙엽교목수(활엽수) 때죽나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 떡갈나무,,,,LA122-낙엽교목수(활엽수) 떡갈나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 마가목,,,,LA122-낙엽교목수(활엽수) 마가목 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 말채나무,,,,LA122-낙엽교목수(활엽수) 말채나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 매화나무,,,,LA122-낙엽교목수(활엽수) 매화나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 모감주나무,,,,LA122-낙엽교목수(활엽수) 모감주나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 모과나무,,,,LA122-낙엽교목수(활엽수) 모과나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 물푸레나무,,,,LA122-낙엽교목수(활엽수) 물푸레나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 배롱나무,○,,,LA122-낙엽교목수(활엽수) 배롱나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 백목련,,,,LA122-낙엽교목수(활엽수) 백목련 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 버즘나무,○,,,LA122-낙엽교목수(활엽수) 버즘나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 벽오동,,,,LA122-낙엽교목수(활엽수) 벽오동 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 복자기,,,,LA122-낙엽교목수(활엽수) 복자기 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 산단풍,,,,LA122-낙엽교목수(활엽수) 산단풍 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 산딸나무,,,,LA122-낙엽교목수(활엽수) 산딸나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 산목련,,,,LA122-낙엽교목수(활엽수) 산목련 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 산벚나무,,,,LA122-낙엽교목수(활엽수) 산벚나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 산사나무,,,,LA122-낙엽교목수(활엽수) 산사나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 산수유,,,,LA122-낙엽교목수(활엽수) 산수유 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 살구나무,,,,LA122-낙엽교목수(활엽수) 살구나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 상수리나무,,,,LA122-낙엽교목수(활엽수) 상수리나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 서어나무,,,,LA122-낙엽교목수(활엽수) 서어나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 석류나무,,,,LA122-낙엽교목수(활엽수) 석류나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 세로티나벚나무,,,,LA122-낙엽교목수(활엽수) 세로티나벚나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 쉬나무,,,,LA122-낙엽교목수(활엽수) 쉬나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 신갈나무,○,,,LA122-낙엽교목수(활엽수) 신갈나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 아그배나무,,,,LA122-낙엽교목수(활엽수) 아그배나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 야광나무,,,,LA122-낙엽교목수(활엽수) 야광나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 왕벚나무,,,,LA122-낙엽교목수(활엽수) 왕벚나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 은행나무,,,,LA122-낙엽교목수(활엽수) 은행나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 음나무,○,,,LA122-낙엽교목수(활엽수) 음나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 이팝나무,,,,LA122-낙엽교목수(활엽수) 이팝나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 일본목련,○,,,LA122-낙엽교목수(활엽수) 일본목련 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 자귀나무,,,,LA122-낙엽교목수(활엽수) 자귀나무 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 자목련,,,,LA122-낙엽교목수(활엽수) 자목련 ,CDK12010N000,,E985,
,,,,,,LA122,LA122-낙엽교목수(활엽수) 자엽자두,,,,LA122-낙엽교목수(활엽수) 자엽자두 ,CDK12010N000,,E985,
