분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
CL000-기둥,,,CL000,CL000-기둥,○,,,CL000-기둥 ,AD,,E22,
CL100-구조,,,CL100,CL100-구조 기둥,○,,,CL100-구조 기둥 ,AD,,E22,
,110.0-철근콘크리트 구조,,CL110,CL110-철근콘크리트구조 기둥,○,,,CL110-철근콘크리트구조 기둥 ,AD,,E22,
,,111.0-각형 기둥,CL111,CL111-철근콘크리트구조 기둥 (각형),○,,,CL111-철근콘크리트구조 기둥 (각형) ,AD,,E22,
,,,,,○,,200x200,CL111-철근콘크리트구조 기둥 (각형) 200x200,AD,,E22,
,,,,,○,,300x300,CL111-철근콘크리트구조 기둥 (각형) 300x300,AD,,E22,
,,,,,○,,450x450,CL111-철근콘크리트구조 기둥 (각형) 450x450,AD,,E22,
,,,,,○,,500x500,CL111-철근콘크리트구조 기둥 (각형) 500x500,AD,,E22,
,,,,,○,,600x600,CL111-철근콘크리트구조 기둥 (각형) 600x600,AD,,E22,
,,,,,○,,700x700,CL111-철근콘크리트구조 기둥 (각형) 700x700,AD,,E22,
,,,,,○,,750x750,CL111-철근콘크리트구조 기둥 (각형) 750x750,AD,,E22,
,,,,,○,,800x800,CL111-철근콘크리트구조 기둥 (각형) 800x800,AD,,E22,
,,,,,○,,400x650,CL111-철근콘크리트구조 기둥 (각형) 400x650,AD,,E22,
,,,,,○,,500x700,CL111-철근콘크리트구조 기둥 (각형) 500x700,AD,,E22,
,,,,,○,,800x600,CL111-철근콘크리트구조 기둥 (각형) 800x600,AD,,E22,
,,,,,○,,1000x800,CL111-철근콘크리트구조 기둥 (각형) 1000x800,AD,,E22,
,,,,,○,,400x600,CL111-철근콘크리트구조 기둥 (각형) 400x600,AD,,E22,
,,,,,○,,600x800,CL111-철근콘크리트구조 기둥 (각형) 600x800,AD,,E22,
,,,,,○,,800x1900,CL111-철근콘크리트구조 기둥 (각형) 800x1900,AD,,E22,
,,,,,○,,300x1200,CL111-철근콘크리트구조 기둥 (각형) 300x1200,AD,,E22,
,,,,,○,,1000x1200,CL111-철근콘크리트구조 기둥 (각형) 1000x1200,AD,,E22,
,,112.0-원형 기둥,CL112,CL112-철근콘크리트구조 기둥 (원형),○,,,CL112-철근콘크리트구조 기둥 (원형) ,AD,,E22,
,,,,,○,,D500,CL112-철근콘크리트구조 기둥 (원형) D500,AD,,E22,
,,,,,○,,D600,CL112-철근콘크리트구조 기둥 (원형) D600,AD,,E22,
,,,,,○,,D700,CL112-철근콘크리트구조 기둥 (원형) D700,AD,,E22,
,,,,,○,,D800,CL112-철근콘크리트구조 기둥 (원형) D800,AD,,E22,
,,,,,○,,D900,CL112-철근콘크리트구조 기둥 (원형) D900,AD,,E22,
,,,,,○,,D1000,CL112-철근콘크리트구조 기둥 (원형) D1000,AD,,E22,
,120.0-철골 구조,,CL120,CL120-철골구조 기둥,○,,,CL120-철골구조 기둥 ,AEA,,E22,
,,121.0-H 형강 기둥,CL121,CL121-철골구조 H형강 기둥,○,,,CL121-철골구조 H형강 기둥 ,AEA110,,E22,
,,,,,○,,(H-100x100) H-100x100x6x8,CL121-철골구조 H형강 기둥 (H-100x100) H-100x100x6x8,AEA110,,E22,
,,,,,○,,(H-125x125) H-125x125x6.5x9,CL121-철골구조 H형강 기둥 (H-125x125) H-125x125x6.5x9,AEA110,,E22,
,,,,,○,,(H-150x75) H-150x75x5x7,CL121-철골구조 H형강 기둥 (H-150x75) H-150x75x5x7,AEA110,,E22,
,,,,,○,,(H-150x100) H-148x100x6x9,CL121-철골구조 H형강 기둥 (H-150x100) H-148x100x6x9,AEA110,,E22,
,,,,,○,,(H-150x150) H-150x150x7x10,CL121-철골구조 H형강 기둥 (H-150x150) H-150x150x7x10,AEA110,,E22,
,,,,,○,,(H-200x100) H-200x100x5.5x8,CL121-철골구조 H형강 기둥 (H-200x100) H-200x100x5.5x8,AEA110,,E22,
,,,,,○,,(H-200x100) H-198x99x4.5x7,CL121-철골구조 H형강 기둥 (H-200x100) H-198x99x4.5x7,AEA110,,E22,
,,,,,○,,(H-200x150) H-194x150x6x9,CL121-철골구조 H형강 기둥 (H-200x150) H-194x150x6x9,AEA110,,E22,
,,,,,○,,(H-200x200) H-208x202x10x16,CL121-철골구조 H형강 기둥 (H-200x200) H-208x202x10x16,AEA110,,E22,
