분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
EE000-운송설비,,,,,,,,,EP,,E66,
EE100-엘리베이터,,,,,,,,,EP,,E661,
,110.0-승객용 엘리베이터,,,,,,,,EPA,,E66110,
,,111.0-승객용 엘리베이터,EE111,EE111-승객용 엘리베이터 일방개폐,○,,"(주택용, 320KG) 출입구700 back추","EE111-승객용 엘리베이터 일방개폐 (주택용, 320KG) 출입구700 back추",EPA,,E66110,
,,111.0-승객용 엘리베이터,EE111,,○,,"(주택용, 320KG) 출입구700 side추","EE111-승객용 엘리베이터 일방개폐 (주택용, 320KG) 출입구700 side추",EPA,,E66110,
,,,,,○,,"(주택용, 630KG) 출입구800 back추","EE111-승객용 엘리베이터 일방개폐 (주택용, 630KG) 출입구800 back추",EPA,,E66110,
,,,,,○,,"(주택용, 630KG) 출입구800 side추","EE111-승객용 엘리베이터 일방개폐 (주택용, 630KG) 출입구800 side추",EPA,,E66110,
,,,,,○,,"(주택용, 630KG) 출입구900 back추","EE111-승객용 엘리베이터 일방개폐 (주택용, 630KG) 출입구900 back추",EPA,,E66110,
,,,,,○,,"(주택용, 630KG) 출입구900 side추","EE111-승객용 엘리베이터 일방개폐 (주택용, 630KG) 출입구900 side추",EPA,,E66110,
,,,,,○,,"(주택용, 1000KG) 출입구800 back추","EE111-승객용 엘리베이터 일방개폐 (주택용, 1000KG) 출입구800 back추",EPA,,E66110,
,,,,,○,,"(주택용, 1000KG) 출입구800 side추","EE111-승객용 엘리베이터 일방개폐 (주택용, 1000KG) 출입구800 side추",EPA,,E66110,
,,,,,○,,"(주택용, 1000KG) 출입구900 back추","EE111-승객용 엘리베이터 일방개폐 (주택용, 1000KG) 출입구900 back추",EPA,,E66110,
,,,,,○,,"(주택용, 1000KG) 출입구900 side추","EE111-승객용 엘리베이터 일방개폐 (주택용, 1000KG) 출입구900 side추",EPA,,E66110,
,,,,,○,,"(침대용, 1275KG) 출입구1100","EE111-승객용 엘리베이터 일방개폐 (침대용, 1275KG) 출입구1100",EPA,,E66110,
,,,,,○,,"(침대용, 1600KG) 출입구1300","EE111-승객용 엘리베이터 일방개폐 (침대용, 1600KG) 출입구1300",EPA,,E66110,
,,,,,○,,"(침대용, 2000KG) 출입구1300","EE111-승객용 엘리베이터 일방개폐 (침대용, 2000KG) 출입구1300",EPA,,E66110,
,,,,,○,,"(침대용, 2500KG) 출입구1300","EE111-승객용 엘리베이터 일방개폐 (침대용, 2500KG) 출입구1300",EPA,,E66110,
,,,,,○,,"(침대용, 2500KG) 출입구1400","EE111-승객용 엘리베이터 일방개폐 (침대용, 2500KG) 출입구1400",EPA,,E66110,
,,,,,○,,"(특정지역시장용, 450KG) 출입구800 back추","EE111-승객용 엘리베이터 일방개폐 (특정지역시장용, 450KG) 출입구800 back추",EPA,,E66110,
,,,,,○,,"(특정지역시장용, 450KG) 출입구800 side추","EE111-승객용 엘리베이터 일방개폐 (특정지역시장용, 450KG) 출입구800 side추",EPA,,E66110,
,,,,,○,,"(특정지역시장용, 1000KG) 출입구900 back추","EE111-승객용 엘리베이터 일방개폐 (특정지역시장용, 1000KG) 출입구900 back추",EPA,,E66110,
