ifc_type                  , category              , family_name                              , kbims_code, family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850
IfcIfcDoor                , Doors                 , DR872-샤프트 점검구(스테인리스 스틸)     , E331      , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD4_650*600                                              , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD4_650*600                                              , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD4_650*600
IfcIfcFlowTerminal        , Plumbing Fixtures     , PF127-서양식 탱크일체형                  , E71210    , PF127-서양식 탱크일체형: PF127-서양식 탱크일체형                                                                                    , PF127-서양식 탱크일체형: PF127-서양식 탱크일체형                                                                                    , PF127-서양식 탱크일체형: PF127-서양식 탱크일체형
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_CW2_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW2_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW2_T200
IfcIfcSlab                , Floors                , Floor                                    , E25       , Floor: SL440-목재블록 바닥                                                                                                          , Floor: SL440-목재블록 바닥                                                                                                          , Floor: SL440-목재블록 바닥
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500
IfcIfcBuildingElementProxy, Generic Models        , SE251-기본주차                           , E77       , SE251-기본주차: SE251-기본주차 경형                                                                                                 , SE251-기본주차: SE251-기본주차 경형                                                                                                 , SE251-기본주차: SE251-기본주차 경형
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_DW1_T600                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_DW1_T600                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_DW1_T600
                          , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-10C4_600x600                                              , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-10C4_600x600                                              , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-10C4_600x600
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_2-7C2_800x800                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_2-7C2_800x800                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_2-7C2_800x800
                          , Generic Models        , SE251-장애인 표시                        , E77       , SE251-장애인 표시: SE251-장애인 표시                                                                                                , SE251-장애인 표시: SE251-장애인 표시                                                                                                , SE251-장애인 표시: SE251-장애인 표시
IfcIfcBeam                , Structural Framing    , BM114-꺾임 보                            , E23       , BM114-꺾임 보: BM114-꺾임 보_1WG2_400x600                                                                                           , BM114-꺾임 보: BM114-꺾임 보_1WG2_400x600                                                                                           , BM114-꺾임 보: BM114-꺾임 보_1WG2_400x600
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*1900
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB3_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB3_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB3_400 x 500
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T400
                          , Curtain Wall Mullions , 직사각형 멀리언                          , E336      , 직사각형 멀리언: CW200-직사각형 멀리언 100 x 100mm                                                                                  , 직사각형 멀리언: CW200-직사각형 멀리언 100 x 100mm                                                                                  , 직사각형 멀리언: CW200-직사각형 멀리언 100 x 100mm
                          , Walls                 , Basic Wall                               , E24       , "Basic Wall: WA730-DRY WALL(C50, GS12.5mm) (2겹양면, GW50mm) 100mm"                                                                 , "Basic Wall: WA730-DRY WALL(C50, GS12.5mm) (2겹양면, GW50mm) 100mm"                                                                 , "Basic Wall: WA730-DRY WALL(C50, GS12.5mm) (2겹양면, GW50mm) 100mm"
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850
IfcIfcBuildingElementProxy, Generic Models        , SE251-기본주차                           , E77       , SE251-기본주차: SE251-기본주차 일반형                                                                                               , SE251-기본주차: SE251-기본주차 일반형                                                                                               , SE251-기본주차: SE251-기본주차 일반형
                          , Windows               , WD730-그릴창                             , E334      , WD730-그릴창: WD730-그릴창_알루미늄바_ST1_THK100                                                                                    , WD730-그릴창: WD730-그릴창_알루미늄바_ST1_THK100                                                                                    , WD730-그릴창: WD730-그릴창_알루미늄바_ST1_THK100
                          , Furniture             , FN114-소파테이블(각형)                   , E81       , FN114-소파테이블(각형): FN114-소파테이블(각형) 1200x600                                                                             , FN114-소파테이블(각형): FN114-소파테이블(각형) 1200x600                                                                             , FN114-소파테이블(각형): FN114-소파테이블(각형) 1200x600
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG2_400 x 500
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200
                          , Furniture             , FN113-소파(2인용)                        , E81       , FN113-소파(2인용): FN113-소파(2인용) 1360x860                                                                                       , FN113-소파(2인용): FN113-소파(2인용) 1360x860                                                                                       , FN113-소파(2인용): FN113-소파(2인용) 1360x860
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG12_600 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG12_600 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG12_600 x 500
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG11_500 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG11_500 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG11_500 x 500
                          , Plumbing Fixtures     , PF123-유아용 서양식 변기                 , E71210    , PF123-유아용 서양식 변기: PF123-유아용 서양식 변기                                                                                  , PF123-유아용 서양식 변기: PF123-유아용 서양식 변기                                                                                  , PF123-유아용 서양식 변기: PF123-유아용 서양식 변기
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*2400
IfcIfcDoor                , Doors                 , "DR121-쌍여닫이문(철재, 방화문)"         , E333      , "DR121-쌍여닫이문(철재, 방화문): DR121-쌍여닫이문(철재, 방화문) 1800x2100mm_FSD2"                                                   , "DR121-쌍여닫이문(철재, 방화문): DR121-쌍여닫이문(철재, 방화문) 1800x2100mm_FSD2"                                                   , "DR121-쌍여닫이문(철재, 방화문): DR121-쌍여닫이문(철재, 방화문) 1800x2100mm_FSD2"
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB1_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB1_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB1_400 x 500
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1WG2_400 x 850                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1WG2_400 x 850                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1WG2_400 x 850
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_B1S6_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_B1S6_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_B1S6_THK200
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG2_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG2_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG2_400 x 400
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_RS1_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS1_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS1_THK150
                          , Doors                 , DR872-샤프트 점검구(스테인리스 스틸)     , E331      , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD3_650*1600                                             , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD3_650*1600                                             , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD3_650*1600
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_2-10S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S3_THK150
IfcIfcSlab                , Floors                , Floor                                    , E25       , Floor: A1-14-06B-테라조타일 (80mm)                                                                                                  , Floor: A1-14-06B-테라조타일 (80mm)                                                                                                  , Floor: A1-14-06B-테라조타일 (80mm)
                          , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_5-6C1_700x700                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_5-6C1_700x700                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_5-6C1_700x700
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B4(역보)_300 x 1500                                                          , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B4(역보)_300 x 1500                                                          , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B4(역보)_300 x 1500
                          , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*2400                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*2400                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*2400
IfcIfcFurnishingElement   , Furniture             , FN114-소파테이블(각형)                   , E81       , FN114-소파테이블(각형): FN114-소파테이블(각형) 800x800                                                                              , FN114-소파테이블(각형): FN114-소파테이블(각형) 800x800                                                                              , FN114-소파테이블(각형): FN114-소파테이블(각형) 800x800
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"                                                               , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"                                                               , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125
                          , Walls                 , Basic Wall                               , E24       , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"                                                                          , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"                                                                          , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BT1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BT1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BT1_T200
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B5_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B5_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B5_400 x 400
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B3_400 x 600                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B3_400 x 600                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B3_400 x 600
