ifc_type                  , category              , family_name                              , kbims_code, family                                                                                                                              , type                                                                                                                                , type_id
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G9_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G9_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G9_500 x 400
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400
IfcIfcCovering            , Ceilings              , Compound Ceiling                         , E36       , Compound Ceiling: A1-44-11A-경량철골천장틀+무기질천장재-11                                                                          , Compound Ceiling: A1-44-11A-경량철골천장틀+무기질천장재-11                                                                          , Compound Ceiling: A1-44-11A-경량철골천장틀+무기질천장재-11
                          , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_2-7C2_800x800                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_2-7C2_800x800                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_2-7C2_800x800
                          , Furniture             , PF531-거울                               , E71320    , PF531-거울: PF531-거울 600x800                                                                                                      , PF531-거울: PF531-거울 600x800                                                                                                      , PF531-거울: PF531-거울 600x800
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B3_400 x 800                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B3_400 x 800                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B3_400 x 800
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G4_400 x 400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G8_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G8_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G8_400 x 400
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , "Basic Wall: WA730-DRY WALL(C50, GS12.5mm) (2겹양면, GW50mm) 100mm"                                                                 , "Basic Wall: WA730-DRY WALL(C50, GS12.5mm) (2겹양면, GW50mm) 100mm"                                                                 , "Basic Wall: WA730-DRY WALL(C50, GS12.5mm) (2겹양면, GW50mm) 100mm"
                          , Generic Models        , SE251-기본주차                           , E77       , SE251-기본주차: SE251-기본주차 확장형                                                                                               , SE251-기본주차: SE251-기본주차 확장형                                                                                               , SE251-기본주차: SE251-기본주차 확장형
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850
                          , Floors                , Floor                                    , E25       , "Floor: A1-12-13B-시멘트 액체방수(2차), 와이어매쉬(#8 150x150), 무근콘크리트, 시멘트모르타르(고름용), 우레탄페인트 (160mm)"         , "Floor: A1-12-13B-시멘트 액체방수(2차), 와이어매쉬(#8 150x150), 무근콘크리트, 시멘트모르타르(고름용), 우레탄페인트 (160mm)"         , "Floor: A1-12-13B-시멘트 액체방수(2차), 와이어매쉬(#8 150x150), 무근콘크리트, 시멘트모르타르(고름용), 우레탄페인트 (160mm)"
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500
IfcIfcSlab                , Floors                , Floor                                    , E25       , Floor: A1-15-01B-화강석(물갈기) (80mm)                                                                                              , Floor: A1-15-01B-화강석(물갈기) (80mm)                                                                                              , Floor: A1-15-01B-화강석(물갈기) (80mm)
                          , Furniture             , FN114-소파테이블(각형)                   , E81       , FN114-소파테이블(각형): FN114-소파테이블(각형) 800x800                                                                              , FN114-소파테이블(각형): FN114-소파테이블(각형) 800x800                                                                              , FN114-소파테이블(각형): FN114-소파테이블(각형) 800x800
                          , Doors                 , DR872-샤프트 점검구(스테인리스 스틸)     , E331      , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD4_650*600                                              , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD4_650*600                                              , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD4_650*600
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G5_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G5_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G5_500 x 400
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_DW1_T600                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_DW1_T600                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_DW1_T600
                          , Structural Framing    , BM120-철골구조 보                        , E23       , BM120-철골구조 보: BM120-철골구조 H형강(H-100x100) 보_SG11_H-100x100x8x6                                                            , BM120-철골구조 보: BM120-철골구조 H형강(H-100x100) 보_SG11_H-100x100x8x6                                                            , BM120-철골구조 보: BM120-철골구조 H형강(H-100x100) 보_SG11_H-100x100x8x6
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*1900
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG5_500 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG5_500 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG5_500 x 500
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G10_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G10_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G10_400 x 400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG1_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG1_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG1_400 x 400
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*2400
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B5_400 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B5_400 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B5_400 x 800
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G6_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G6_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G6_400 x 400
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BT1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BT1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BT1_T200
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*2400                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*2400                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*2400
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B7_800 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B7_800 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B7_800 x 800
IfcIfcBeam                , Structural Framing    , BM120-철골구조 보                        , E23       , BM120-철골구조 보: BM120-철골구조 H형강(H-100x100) 보_SG11_H-100x100x8x6                                                            , BM120-철골구조 보: BM120-철골구조 H형강(H-100x100) 보_SG11_H-100x100x8x6                                                            , BM120-철골구조 보: BM120-철골구조 H형강(H-100x100) 보_SG11_H-100x100x8x6
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_B1S6_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_B1S6_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_B1S6_THK200
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T400
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RAWG1_600 x 600                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RAWG1_600 x 600                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RAWG1_600 x 600
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B4_400 x 600                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B4_400 x 600                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B4_400 x 600
IfcIfcFurnishingElement   , Furniture             , FN111-로비의자 원형                      , E81       , FN111-로비의자 원형: FN111-로비의자 원형 테블릿 4인용 2300x500x610                                                                  , FN111-로비의자 원형: FN111-로비의자 원형 테블릿 4인용 2300x500x610                                                                  , FN111-로비의자 원형: FN111-로비의자 원형 테블릿 4인용 2300x500x610
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_W2_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W2_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W2_T200
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G3_400 x 400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850
                          , Floors                , Floor                                    , E25       , "Floor: A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"                                 , "Floor: A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"                                 , "Floor: A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"
IfcIfcFurnishingElement   , Furniture             , FN322-사무용 책상 세트 1인(아크릴) Type 1, E81       , FN322-사무용 책상 세트 1인(아크릴) Type 1: FN322-사무용 책상 세트 1인(아크릴) Type 1 1444x1500x1220                                 , FN322-사무용 책상 세트 1인(아크릴) Type 1: FN322-사무용 책상 세트 1인(아크릴) Type 1 1444x1500x1220                                 , FN322-사무용 책상 세트 1인(아크릴) Type 1: FN322-사무용 책상 세트 1인(아크릴) Type 1 1444x1500x1220
IfcIfcSlab                , Floors                , Floor                                    , E25       , "Floor: A1-15-09B-쇠흙손마감, 침투성방수(2차), 시멘트모르타르(보호용), 와이어매쉬(#8 150x150), 무근콘크리트, 대리석(물갈기) (200mm)", "Floor: A1-15-09B-쇠흙손마감, 침투성방수(2차), 시멘트모르타르(보호용), 와이어매쉬(#8 150x150), 무근콘크리트, 대리석(물갈기) (200mm)", "Floor: A1-15-09B-쇠흙손마감, 침투성방수(2차), 시멘트모르타르(보호용), 와이어매쉬(#8 150x150), 무근콘크리트, 대리석(물갈기) (200mm)"
                          , Ceilings              , Compound Ceiling                         , E36       , Compound Ceiling: A1-44-11A-경량철골천장틀+무기질천장재-11                                                                          , Compound Ceiling: A1-44-11A-경량철골천장틀+무기질천장재-11                                                                          , Compound Ceiling: A1-44-11A-경량철골천장틀+무기질천장재-11
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B6_300 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B6_300 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B6_300 x 800
IfcIfcFurnishingElement   , Furniture             , PF582-소변기 칸막이                      , E714      , PF582-소변기 칸막이: PF582-소변기 칸막이                                                                                            , PF582-소변기 칸막이: PF582-소변기 칸막이                                                                                            , PF582-소변기 칸막이: PF582-소변기 칸막이
IfcIfcPlate               , Curtain Panels        , CW300-THK24.Low-e coating glass          , E336      , CW300-THK24.Low-e coating glass: CW300-THK24.Low-e coating glass                                                                    , CW300-THK24.Low-e coating glass: CW300-THK24.Low-e coating glass                                                                    , CW300-THK24.Low-e coating glass: CW300-THK24.Low-e coating glass
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G9_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G9_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G9_500 x 400
                          , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-7C3_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-7C3_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-7C3_800x800
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG7_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG7_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG7_400 x 500
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_PRS2_THK150                                                                                      , Floor: SL110-철근콘크리트구조 바닥_PRS2_THK150                                                                                      , Floor: SL110-철근콘크리트구조 바닥_PRS2_THK150
                          , Furniture             , FN122-회의 테이블 세트(6인)              , E81       , FN122-회의 테이블 세트(6인): FN122-회의 테이블 세트(6인) 5200x3400                                                                  , FN122-회의 테이블 세트(6인): FN122-회의 테이블 세트(6인) 5200x3400                                                                  , FN122-회의 테이블 세트(6인): FN122-회의 테이블 세트(6인) 5200x3400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG2_400 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG2_400 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG2_400 x 500
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B2_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B2_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B2_400 x 400
IfcIfcSlab                , Floors                , Floor                                    , E25       , "Floor: A1-12-13B-시멘트 액체방수(2차), 와이어매쉬(#8 150x150), 무근콘크리트, 시멘트모르타르(고름용), 우레탄페인트 (160mm)"         , "Floor: A1-12-13B-시멘트 액체방수(2차), 와이어매쉬(#8 150x150), 무근콘크리트, 시멘트모르타르(고름용), 우레탄페인트 (160mm)"         , "Floor: A1-12-13B-시멘트 액체방수(2차), 와이어매쉬(#8 150x150), 무근콘크리트, 시멘트모르타르(고름용), 우레탄페인트 (160mm)"
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G4_400 x 400
                          , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C13_1020x400                                            , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C13_1020x400                                            , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C13_1020x400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G10_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G10_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G10_400 x 400
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*950*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*950*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*950*1900
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G7_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G7_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G7_400 x 400
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T400
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW5_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW5_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW5_T500
                          , Generic Models        , SE251-기본주차                           , E77       , SE251-기본주차: SE251-기본주차 일반형                                                                                               , SE251-기본주차: SE251-기본주차 일반형                                                                                               , SE251-기본주차: SE251-기본주차 일반형
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B4_400 x 600                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B4_400 x 600                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B4_400 x 600
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B3_400 x 400
                          , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_8-10C3_700x700                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_8-10C3_700x700                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_8-10C3_700x700
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_1S11_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S11_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S11_THK200
                          , Furniture             , FN122-업무용 책상(L형)                   , E81       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1800x1200 우형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1800x1200 우형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1800x1200 우형
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG1_400 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG1_400 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG1_400 x 500
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_B1S4_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_B1S4_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_B1S4_THK200
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G5_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G5_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G5_500 x 400
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*1900                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*1900                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*1900
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_2-10S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S1_THK150
                          , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*1900
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB5_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB5_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB5_400 x 500
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_RS3_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS3_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS3_THK150
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_1S12_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S12_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S12_THK200
                          , Walls                 , Basic Wall                               , E24       , "Basic Wall: A1-32-07A-콘크리트면정리, 바닥방수연장, 시멘트모르타르(미장용), 수성페인트(내부) (24mm)"                               , "Basic Wall: A1-32-07A-콘크리트면정리, 바닥방수연장, 시멘트모르타르(미장용), 수성페인트(내부) (24mm)"                               , "Basic Wall: A1-32-07A-콘크리트면정리, 바닥방수연장, 시멘트모르타르(미장용), 수성페인트(내부) (24mm)"
