PredefinedType,Category,Family,StructuralUsage,StructuralMaterial,Width,Height,Length,Volume,CrossSectionArea,IsExternal,LoadBearing,PartCode
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,7250.0,1.82000000000002,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1B4_400 x 600,Girder,KBIMS-콘크리트,400,600,3352.0,0.640302228760454,0.24,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Girder,KBIMS-콘크리트,400,850,2600.0,0.713999996402438,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850,Other,KBIMS-콘크리트,400,850,9900.0,2.57362722023949,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Girder,KBIMS-콘크리트,400,850,2950.0,0.637000129219254,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,3050.0,0.700000002570003,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,7250.0,1.7799999999999,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Girder,KBIMS-콘크리트,400,850,2950.0,0.686000142756676,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,2800.0,0.699999996799411,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,7250.0,1.81999988186921,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Other,KBIMS-콘크리트,500,850,10650.0,3.48250304254449,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Other,KBIMS-콘크리트,500,850,9503.0,2.92499999810495,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850,Other,KBIMS-콘크리트,400,850,9107.0,2.36600227331442,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850,Other,KBIMS-콘크리트,400,850,9100.0,2.54760097216475,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,2948.0,0.699482930530089,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Other,KBIMS-콘크리트,400,850,9050.0,2.31350243403559,0.34,0,True,E23
