ifc_type                  , category              , family_name                                 , kbims_code  , pps_code                                                         , family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG1_400 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG1_400 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG1_400 x 500
IfcIfcSlab                , Structural Foundations, Foundation Slab                             , E063        , AD                                                               , Foundation Slab: FT113-매트기초(기초슬래브)_MF1_1800mm                                                                              , Foundation Slab: FT113-매트기초(기초슬래브)_MF1_1800mm                                                                              , Foundation Slab: FT113-매트기초(기초슬래브)_MF1_1800mm
IfcIfcCovering            , 천장                  , 복합 천장                                   , E36         , ADR130400000+AOM20101A                                           , 복합 천장                                                                                                                           , "A1-46-01B-콘크리트면정리, 유리면 흡음판(그라스크로스) (50mm)"                                                                      , 6897902
IfcIfcFurnishingElement   , Furniture             , FN113-소파(2인용)                           , E81         , APA                                                              , FN113-소파(2인용): FN113-소파(2인용) 1360x860                                                                                       , FN113-소파(2인용): FN113-소파(2인용) 1360x860                                                                                       , FN113-소파(2인용): FN113-소파(2인용) 1360x860
IfcIfcDoor                , 문                    , DR222-외미닫이 자동문(전동식) 2000X2600mm   , E333        , ALA51                                                            , DR222-외미닫이 자동문(전동식) 2000X2600mm                                                                                           , DR222-외미닫이 자동문(전동식) 2000X2600mm                                                                                           , 7457689
IfcIfcWall                , 벽                    , 파라펫                                      , E24         , AJC103100000                                                     , 파라펫                                                                                                                              , 파라펫                                                                                                                              , 2991719
IfcIfcDoor                , 문                    , "DR111-외여닫이문(철재, 일반, 양개)"        , E333        , ALA110100000                                                     , "DR111-외여닫이문(철재, 일반, 양개)"                                                                                                , "DR111-외여닫이문(유리, 일반, 양개) 925x1970mm 2"                                                                                   , 7694949
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 400mm_BW4                                                                                                 , 7628562
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_2-10S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S1_THK150
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_PRS1_THK150                                                                                      , Floor: SL110-철근콘크리트구조 바닥_PRS1_THK150                                                                                      , Floor: SL110-철근콘크리트구조 바닥_PRS1_THK150
IfcIfcFlowTerminal        , 위생기구              , PF411-평면붙임형 세면기                     , E71225      , MHA4                                                             , PF411-평면붙임형 세면기                                                                                                             , PF411-평면붙임형 세면기                                                                                                             , 6436009
IfcIfcSlab                , Floors                , Floor                                       , E25         , AMB3211E                                                         , Floor: A1-15-01B-화강석(물갈기) (80mm)                                                                                              , Floor: A1-15-01B-화강석(물갈기) (80mm)                                                                                              , Floor: A1-15-01B-화강석(물갈기) (80mm)
IfcIfcSlab                , 바닥                  , 바닥                                        , E25         , AMB3211B                                                         , 바닥                                                                                                                                , A1-15-01B-화강석(물갈기) (80mm)                                                                                                     , 6843992
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1WG2_400 x 850                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1WG2_400 x 850                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1WG2_400 x 850
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 850_B1-1G3                                                                                         , 7667203
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 300mm_RaS1                                                                                              , 7641959
IfcIfcMember              , 커튼월 멀리언         , 직사각형 멀리언                             , E336        , ALC1                                                             , 직사각형 멀리언                                                                                                                     , CW200-직사각형 멀리언 100 x 100mm                                                                                                   , 3165390
IfcIfcFurnishingElement   , Furniture             , FN322-사무용 책상 세트 1인(아크릴) Type 1   , E81         , APA                                                              , FN322-사무용 책상 세트 1인(아크릴) Type 1: FN322-사무용 책상 세트 1인(아크릴) Type 1 1444x1500x1220                                 , FN322-사무용 책상 세트 1인(아크릴) Type 1: FN322-사무용 책상 세트 1인(아크릴) Type 1 1444x1500x1220                                 , FN322-사무용 책상 세트 1인(아크릴) Type 1: FN322-사무용 책상 세트 1인(아크릴) Type 1 1444x1500x1220
IfcIfcSlab                , Floors                , Floor                                       , E25         , AMB3032E                                                         , Floor: A1-14-06B-테라조타일 (80mm)                                                                                                  , Floor: A1-14-06B-테라조타일 (80mm)                                                                                                  , Floor: A1-14-06B-테라조타일 (80mm)
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E24         , ANC132110000+AGA113100000+AGA441100000                           , 기본 벽                                                                                                                             , "A1-32-06A-콘크리트면정리, 시멘트모르타르(미장용), 수성페인트(내부) (18mm)"                                                         , 6825441
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 600_B1B4                                                                                           , 7669402
IfcIfcColumn              , 구조 기둥             , CL111-철근콘크리트구조 기둥 (각형)1         , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형)1                                                                                                 , CL111-철근콘크리트구조 기둥 (각형)_600x600_B2-B2C12                                                                                 , 7669432
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 200mm_BT1                                                                                                 , 7629825
IfcIfcSlab                , 바닥                  , 바닥                                        , E93200      , AD                                                               , 바닥                                                                                                                                , 보행로(일반)                                                                                                                        , 8014144
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 500mm_BW2                                                                                                 , 7626805
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 600mm_DW1                                                                                                 , 7626629
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E24         , AFA111010000                                                     , 기본 벽                                                                                                                             , WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm                                                                                               , 6839214
IfcIfcPlate               , Curtain Panels        , CW300-THK24.Low-e coating glass             , E336        , ALC1                                                             , CW300-THK24.Low-e coating glass: CW300-THK24.Low-e coating glass                                                                    , CW300-THK24.Low-e coating glass: CW300-THK24.Low-e coating glass                                                                    , CW300-THK24.Low-e coating glass: CW300-THK24.Low-e coating glass
IfcIfcColumn              , 구조 기둥             , CL111-철근콘크리트구조 기둥 (각형)1         , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형)1                                                                                                 , CL111-철근콘크리트구조 기둥 (각형)_800x800_B2-4C1                                                                                   , 7669456
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_500 x 850_B1-1G5                                                                                         , 7667205
IfcIfcDoor                , Doors                 , "DR121-쌍여닫이문(철재, 방화문)"            , E333        , ALA110303000                                                     , "DR121-쌍여닫이문(철재, 방화문): DR121-쌍여닫이문(철재, 방화문) 1800x2100mm_FSD2"                                                   , "DR121-쌍여닫이문(철재, 방화문): DR121-쌍여닫이문(철재, 방화문) 1800x2100mm_FSD2"                                                   , "DR121-쌍여닫이문(철재, 방화문): DR121-쌍여닫이문(철재, 방화문) 1800x2100mm_FSD2"
IfcIfcFurnishingElement   , 가구                  , FN122-회의 테이블 세트(6인)                 , E81         , APA                                                              , FN122-회의 테이블 세트(6인)                                                                                                         , FN122-회의 테이블 세트(6인) 5200x3400                                                                                               , 6228894
IfcIfcFurnishingElement   , 가구                  , PF581-대변기 칸막이                         , E71410      , AOC771                                                           , PF581-대변기 칸막이                                                                                                                 , PF581-대변기부스                                                                                                                    , 8037256
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , AOC700010000                                                     , 기본 벽                                                                                                                             , "WA731-DRY WALL(C50, GS12.5mm) (1겹한면, GW50mm) 62.5mm"                                                                            , 6840292
IfcIfcFurnishingElement   , 가구                  , PF531-거울                                  , E71320      , HB3                                                              , PF531-거울                                                                                                                          , PF531-거울 600x800                                                                                                                  , 6405131
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG8_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG8_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG8_400 x 500
IfcIfcFurnishingElement   , 가구                  , FN113-소파(2인용)                           , E81         , APA                                                              , FN113-소파(2인용)                                                                                                                   , FN113-소파(2인용) 1360x860                                                                                                          , 6066555
IfcIfcBuildingElementProxy, 바닥                  , 바닥                                        , E25         , AD                                                               , 바닥                                                                                                                                , 보도 녹지대                                                                                                                         , 8014148
IfcIfcSlab                , Roofs                 , Basic Roof                                  , E26         , AD                                                               ,                                                                                                                                     ,                                                                                                                                     , 
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 500_RWG2                                                                                           , 7669416
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_CW3_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW3_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW3_T200
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125
IfcIfcFurnishingElement   , 가구                  , FN111-바스툴 웨이브 고정형                  , E81         , APA                                                              , FN111-바스툴 웨이브 고정형                                                                                                          , FN111-바스툴 웨이브 고정형 풋링 650x650x1000                                                                                        , 6059598
IfcIfcSlab                , 구조 기초             , 기초 슬래브                                 , E063        , AD                                                               , 기초 슬래브                                                                                                                         , FT113-매트기초(기초슬래브)_MF1_1800mm                                                                                               , 6572322
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*950*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*950*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*950*2400
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 850_B1-1G2                                                                                         , 7667202
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_5-6C1_700x700                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_5-6C1_700x700                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_5-6C1_700x700
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AFC100+AJM+AOD112322000+AD+ANC132110000+AGA113100000+AGA441100000, 기본 벽                                                                                                                             , (복합)A2-22-02A+WA111(200_CW1)+A1-33-01B_압출+철콘+화장실                                                                           , 7717582
IfcIfcFurnishingElement   , 가구                  , PF531-거울                                  , E71320      , HB3                                                              , PF531-거울                                                                                                                          , PF531-거울 800x800                                                                                                                  , 6405129
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10B1                                                                                         , 7669421
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_500 x 500_RG10                                                                                           , 7669451
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 500_RG4                                                                                            , 7669442
IfcIfcBuildingElementProxy, Generic Models        , PF583-장애인 칸막이                         , E714        , AOC771                                                           , PF583-장애인 칸막이: PF583-장애인 칸막이                                                                                            , PF583-장애인 칸막이: PF583-장애인 칸막이                                                                                            , PF583-장애인 칸막이: PF583-장애인 칸막이
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 150mm_S1                                                                                                , 7622584
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG2_400 x 500
IfcIfcBuildingElementProxy, 주차장                , SE251-기본주차                              , E77         , CLH2601                                                          , SE251-기본주차                                                                                                                      , SE251-기본주차 장애인전용                                                                                                           , 3098911
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AFC100+AJM+AOD112322000+AD+ANC132110000+AGA113100000+AGA441100000, 기본 벽                                                                                                                             , (복합)A2-22-02A+WA111(200_W1)+A1-32-06A_금속+철콘+수성 3                                                                            , 7718854
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG7_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG7_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG7_400 x 500
IfcIfcFurnishingElement   , Furniture             , FN611-사각 등받이 조합소파                  , E81         , APA                                                              , FN611-사각 등받이 조합소파: FN611-사각 등받이 조합소파 TYPE-3 1500x645x723                                                          , FN611-사각 등받이 조합소파: FN611-사각 등받이 조합소파 TYPE-3 1500x645x723                                                          , FN611-사각 등받이 조합소파: FN611-사각 등받이 조합소파 TYPE-3 1500x645x723
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG5_500 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG5_500 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG5_500 x 500
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 200mm_S11                                                                                               , 7622781
IfcIfcWall                , 벽                    , 파라펫1                                     , E24         , AJC103100000                                                     , 파라펫1                                                                                                                             , 파라펫                                                                                                                              , 2996262
IfcIfcBuildingElementProxy, 주차장                , SE251-기본주차                              , E77         , CLH2601                                                          , SE251-기본주차                                                                                                                      , SE251-기본주차 확장형                                                                                                               , 3098913
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , ANC132110000+AGA113100000+AGA441100000                           , 기본 벽                                                                                                                             , "A1-32-06A-콘크리트면정리, 시멘트모르타르(미장용), 수성페인트(내부) (18mm)"                                                         , 6825441
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E24         , AMB161A+AD                                                       , 기본 벽                                                                                                                             , (복합)WA111(200_CW1)+WA313_철콘+화강석잔다듬                                                                                        , 7719098
IfcIfcFurnishingElement   , Furniture             , FN122-업무용 책상(L형)                      , E81         , APA                                                              , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1400x1200 좌형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1400x1200 좌형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1400x1200 좌형
IfcIfcFurnishingElement   , 가구                  , PF591-대변기용 장애인 손잡이(상하가동식)    , E713        , APA18                                                            , PF591-대변기용 장애인 손잡이(상하가동식)                                                                                            , PF591-대변기용 장애인 손잡이(상하가동식)                                                                                            , 6418508
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 200mm_CW2                                                                                                 , 7626131
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 800_B1B3                                                                                           , 7669401
IfcIfcSlab                , Floors                , Floor                                       , E25         , AOA111                                                           , Floor: SL440-목재블록 바닥                                                                                                          , Floor: SL440-목재블록 바닥                                                                                                          , Floor: SL440-목재블록 바닥
IfcIfcDoor                , Doors                 , DR872-샤프트 점검구(스테인리스 스틸)        , E331        , AJG3                                                             , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD3_650*1600                                             , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD3_650*1600                                             , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD3_650*1600
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_2-10S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S3_THK150
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW5_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW5_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW5_T500
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW4_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW4_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW4_T500
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD+AMB3211B                                                      , 바닥                                                                                                                                , (복합)SL111(150_S4)+A1-15-01B_철콘+화강석                                                                                           , 7726581
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , ANC132110000+AGA113100000+AGA441100000                           , "Basic Wall: A1-32-06A-콘크리트면정리, 시멘트모르타르(미장용), 수성페인트(내부) (18mm)"                                             , "Basic Wall: A1-32-06A-콘크리트면정리, 시멘트모르타르(미장용), 수성페인트(내부) (18mm)"                                             , "Basic Wall: A1-32-06A-콘크리트면정리, 시멘트모르타르(미장용), 수성페인트(내부) (18mm)"
IfcIfcDoor                , 문                    , EE111-엘리베이터문(문)                      , E66110      , EPA                                                              , EE111-엘리베이터문(문)                                                                                                              , EE111-엘리베이터문(20인승)_1100x2550                                                                                                , 7620949
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G2_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G2_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G2_400 x 400
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_500 x 500_RG5                                                                                            , 7669441
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 500_1G7(역보)                                                                                      , 7667207
IfcIfcSlab                , 바닥                  , 바닥                                        , E25         , AMB322D+ADF102100000+AJM4B+AHJ111201000+AHD11+AGA441100000       , 바닥                                                                                                                                , "A1-15-09B-쇠흙손마감, 침투성방수(2차), 시멘트모르타르(보호용), 와이어매쉬(#8 150x150), 무근콘크리트, 대리석(물갈기) (200mm)"       , 6844367
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10B5                                                                                         , 7669414
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T400
IfcIfcStair               , 계단                  , 현장타설 계단                               , E270        , AD                                                               , 현장타설 계단                                                                                                                       , ST111-철근콘크리트구조 계단 (직선형)                                                                                                , 7468661
