ifc_type                  , category              , family_name                                 , kbims_code  , pps_code                                                         , family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcCovering            , 천장                  , 복합 천장                                   , E36         , AJI100100000+AOC12A                                              , 복합 천장                                                                                                                           , "A1-44-11A-경량철골천장틀(M-Bar), 무석면텍스 (7mm)"                                                                                 , 6897900
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG1_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG1_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG1_400 x 400
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 970*1430*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 970*1430*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 970*1430*2400
IfcIfcBuildingElementProxy, 주차장                , SE251-기본주차                              , E77         , CLH2601                                                          , SE251-기본주차                                                                                                                      , SE251-기본주차 일반형                                                                                                               , 3098914
IfcIfcDoor                , 문                    , DR120-쌍여닫이문                            , E333        , ALA                                                              , DR120-쌍여닫이문                                                                                                                    , DR120-쌍여닫이문                                                                                                                    , 7678345
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-1C2_800x900                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-1C2_800x900                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-1C2_800x900
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , ANC132110000+AGA114600000+AHG3+AGA441100000                      , "Basic Wall: A1-32-07A-콘크리트면정리, 바닥방수연장, 시멘트모르타르(미장용), 수성페인트(내부) (24mm)"                               , "Basic Wall: A1-32-07A-콘크리트면정리, 바닥방수연장, 시멘트모르타르(미장용), 수성페인트(내부) (24mm)"                               , "Basic Wall: A1-32-07A-콘크리트면정리, 바닥방수연장, 시멘트모르타르(미장용), 수성페인트(내부) (24mm)"
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10G8                                                                                         , 7669410
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G10_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G10_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G10_400 x 400
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_DW1_T600                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_DW1_T600                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_DW1_T600
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD+ANC132110000+AGA113100000+AGA441100000                        , 기본 벽                                                                                                                             , (복합)WA111(200_CW1)+A1-32-06A_철콘+수성                                                                                            , 7717580
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 200mm_S3                                                                                                , 7625594
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 500_RB5                                                                                            , 7669454
IfcIfcFlowTerminal        , 위생기구              , PF231-장애인용 소변기                       , E71215      , MHA32110120S                                                     , PF231-장애인용 소변기                                                                                                               , PF231-장애인용 소변기                                                                                                               , 6432497
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 500mm_BW3                                                                                                 , 7626733
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G4_400 x 400
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B2C12_600x600                                             , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B2C12_600x600                                             , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B2C12_600x600
IfcIfcFlowTerminal        , Plumbing Fixtures     , PF213-스톨형 소변기                         , E71215      , MHA32110010S                                                     , PF213-스톨형 소변기: PF213-스톨형 소변기                                                                                            , PF213-스톨형 소변기: PF213-스톨형 소변기                                                                                            , PF213-스톨형 소변기: PF213-스톨형 소변기
IfcIfcBuildingElementProxy, 전기 시설물           , SE112-가로등                                , E76         , CAB450030000                                                     , SE112-가로등                                                                                                                        , SE112-가로등                                                                                                                        , 8209722
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_300 x 1500_1B4(역보)                                                                                     , 7667212
