분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
RL000-난간,,,RL000,RL000-난간,,○,,RL000-난간 ,AJC10,,E352,
RL100-구조,,,,,,,,,,,E352,
,110.0-철근콘크리트 구조,,,,,,,,,,E352,
,,111.0-철근콘크리트,,,,,,,,,E352,
,120.0-철골 구조,,,,,,,,,,E352,
,130.0-철골철근콘크리트 구조,,,,,,,,,,E352,
,140.0-목구조,,,,,,,,,,E352,
RL200-조적,,,,,,,,,,,E352,
RL300-석재 및 타일,,,,,,,,,,,E352,
RL400-목재,,,,,,,,,,,E352,
,410.0-목재,,RL410,RL410-목재 난간,,○,,RL410-목재 난간 ,AIA5004,,E352,
,,411.0-목재난간,RL411,RL411-목재 난간,,○,,RL411-목재 난간 ,AIA5004,,E352,
RL500-방수 및 미장,,,,,,,,,,,E352,
RL600-도장,,,,,,,,,,,E352,
RL700-수장 및 금속,,,,,,,,,,,E352,
,780.0-금속재,,RL780,RL780-금속재 난간,,○,,RL780-금속재 난간 ,AJC,,E352,
,,781.0-강재,RL781,RL781-강재 난간,,○,,RL781-강재 난간 ,AJC101,,E352,
,,782.0-스테인리스 스틸,RL782,RL782-스테인리스 스틸 난간,,○,,RL782-스테인리스 스틸 난간 ,AJC103,,E352,
RL800-단열,,,,,,,,,,,E352,
RL900-기타,,,,,,,,,,,E352,
,910.0-유리,,RL910,RL910-유리 난간,,○,,RL910-유리 난간 ,AJC23030,,E352,
,,911.0-강화유리,RL911,RL911-강화유리 난간,,○,1000x1400mm,RL911-강화유리 난간 1000x1400mm,AJC230300000,,E352,
,,,,,,○,1600x1400mm,RL911-강화유리 난간 1600x1400mm,AJC230301000,,E352,
,,,,,,○,1800x1400mm,RL911-강화유리 난간 1800x1400mm,AJC230302000,,E352,
,,,,,,○,2400x1400mm,RL911-강화유리 난간 2400x1400mm,AJC230303000,,E352,
,,,,,,○,3200x1400mm,RL911-강화유리 난간 3200x1400mm,AJC230304000,,E352,
,,,,,,○,5200x1400mm,RL911-강화유리 난간 5200x1400mm,AJC230305000,,E352,
